Ross Stores PE Ratio Historical Data,Ross Stores PE Ratio Historical Data,Ross Stores PE Ratio Historical Data,Ross Stores PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,150.61,,32.67
2024-07-31,143.23,$4.61,31.07
2024-04-30,129.22,$5.93,21.79
2024-01-31,139.57,$5.56,25.1
2023-10-31,115.09,$5.05,22.79
2023-07-31,113.46,$4.72,24.04
2023-04-30,105.29,$4.51,23.35
2023-01-31,116.22,$4.39,26.47
2022-10-31,93.85,$4.12,22.78
2022-07-31,79.41,$4.21,18.86
2022-04-30,97.13,$4.49,21.63
2022-01-31,94.82,$4.86,19.51
2021-10-31,109.53,$4.49,24.4
2021-07-31,118.42,$3.77,31.41
2021-04-30,126.09,$2.44,51.67
2021-01-31,106.92,$0.23,464.87
2020-10-31,81.83,$0.84,97.41
2020-07-31,86.15,$1.50,57.43
2020-04-30,87.77,$2.58,34.02
2020-01-31,107.37,$4.60,23.34
2019-10-31,104.72,$4.52,23.17
2019-07-31,101.01,$4.40,22.96
2019-04-30,92.8,$4.30,21.58
2019-01-31,87.53,$4.26,20.55
2018-10-31,93.81,$4.25,22.07
2018-07-31,82.66,$4.06,20.36
2018-04-30,76.23,$3.84,19.85
2018-01-31,77.46,$3.55,21.82
2017-10-31,59.57,$3.13,19.03
2017-07-31,51.76,$3.12,16.59
2017-04-30,60.67,$3.03,20.02
2017-01-31,61.55,$2.87,21.45
2016-07-31,57.33,$2.63,21.8
2016-04-30,52.51,$2.55,20.59
2016-01-31,51.91,$2.51,20.72
2015-10-31,46.57,$2.47,18.89
2015-07-31,48.82,$2.54,19.26
2015-04-30,45.3,$2.37,19.11
2016-10-31,58.11,$2.26,25.77
2015-01-31,41.92,$2.21,18.97
2014-10-31,36.81,$2.12,17.37
2014-07-31,29.29,$2.06,14.26
2014-04-30,30.88,$1.98,15.63
2014-01-31,30.72,$1.94,15.87
2013-10-31,34.9,$1.96,17.81
2013-07-31,30.38,$1.92,15.82
2013-04-30,29.66,$1.84,16.16
2013-01-31,26.73,$1.77,15.14
2012-10-31,27.22,$1.66,16.45
2012-07-31,29.61,$1.61,18.39
2012-04-30,27.35,$1.53,17.93
2012-01-31,22.54,$1.43,15.76
2011-10-31,19.4,$1.35,14.4
2011-07-31,16.71,$1.29,12.98
2011-04-30,16.2,$1.24,13.12
2011-01-31,14.29,$1.16,12.38
2010-10-31,12.9,$1.10,11.7
2010-07-31,11.48,$1.06,10.86
2010-04-30,12.17,$1.00,12.23
2010-01-31,9.95,$0.89,11.24
2009-10-31,9.51,$0.79,12.11
