Intercontinental Exchange PE Ratio Historical Data,Intercontinental Exchange PE Ratio Historical Data,Intercontinental Exchange PE Ratio Historical Data,Intercontinental Exchange PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,161.55,,39.99
2024-06-30,136.89,$4.04,33.88
2024-03-31,136.97,$4.36,31.42
2023-12-31,127.58,$4.20,30.38
2023-09-30,108.92,$4.31,25.27
2023-06-30,111.54,$3.01,37.06
2023-03-31,102.48,$2.58,39.72
2022-12-31,100.39,$2.57,39.06
2022-09-30,88.09,$4.51,19.53
2022-06-30,91.33,$5.97,15.3
2022-03-31,127.8,$7.20,17.75
2021-12-31,131.92,$7.18,18.37
2021-09-30,110.48,$5.41,20.42
2021-06-30,113.9,$5.00,22.78
2021-03-31,106.85,$3.73,28.65
2020-12-31,109.99,$3.76,29.25
2020-09-30,95.19,$3.63,26.22
2020-06-30,86.89,$3.86,22.51
2020-03-31,76.36,$3.75,20.36
2019-12-31,87.16,$3.43,25.41
2019-09-30,86.64,$3.70,23.42
2019-06-30,80.45,$3.55,22.66
2019-03-31,71.05,$3.49,20.36
2018-12-31,70.03,$3.43,20.42
2018-09-30,69.41,$4.44,15.63
2018-06-30,67.95,$4.27,15.91
2018-03-31,66.79,$4.19,15.94
2017-12-31,64.77,$4.24,15.28
2017-09-30,62.89,$2.75,22.87
2017-06-30,60.16,$2.70,22.26
2017-03-31,54.47,$2.60,20.97
2016-12-31,51.16,$2.37,21.55
2016-09-30,48.71,$2.44,19.95
2016-06-30,46.15,$2.42,19.05
2016-03-31,42.25,$2.33,18.1
2015-12-31,45.88,$2.28,20.14
2015-09-30,41.95,$2.13,19.71
2015-06-30,39.79,$1.94,20.55
2015-03-31,41.38,$1.82,22.76
2014-12-31,38.79,$1.71,22.66
2014-09-30,34.4,$0.84,41.05
2014-06-30,33.2,$0.86,38.52
2014-03-31,34.65,$0.89,38.94
2013-12-31,39.28,$0.81,48.73
2013-09-30,31.59,$1.52,20.73
2013-06-30,30.95,$1.50,20.66
2013-03-31,28.39,$1.47,19.31
2012-12-31,21.56,$1.50,14.33
2012-09-30,23.23,$1.50,15.51
2012-06-30,23.67,$1.50,15.78
2012-03-31,23.92,$1.44,16.64
2011-12-31,20.99,$1.38,15.19
2011-09-30,20.59,$1.30,15.79
2011-06-30,21.71,$1.20,18.06
2011-03-31,21.51,$1.15,18.77
2010-12-31,20.74,$1.07,19.39
2010-09-30,18.23,$1.03,17.74
2010-06-30,19.68,$1.01,19.56
2010-03-31,19.53,$0.93,21.05
2009-12-31,19.55,$0.85,22.95
