GoDaddy PE Ratio Historical Data,GoDaddy PE Ratio Historical Data,GoDaddy PE Ratio Historical Data,GoDaddy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,167.41,,13.38
2024-06-30,139.71,$12.51,11.17
2024-03-31,118.68,$12.04,9.86
2023-12-31,106.16,$9.58,11.08
2023-09-30,74.48,$2.33,31.97
2023-06-30,75.13,$2.07,36.29
2023-03-31,77.72,$2.09,37.19
2022-12-31,74.82,$2.20,34.01
2022-09-30,70.88,$2.12,33.43
2022-06-30,69.56,$2.07,33.6
2022-03-31,83.7,$1.78,47.02
2021-12-31,84.86,$1.43,59.34
2021-09-30,69.7,$1.32,52.8
2021-06-30,86.96,$1.12,77.64
2021-03-31,77.62,$-3.21,0.0
2020-12-31,82.95,$-3.03,0.0
2020-09-30,75.97,$-3.10,0.0
2020-06-30,73.33,$-3.06,0.0
2020-03-31,57.11,$0.93,61.41
2019-12-31,67.92,$0.76,89.37
2019-09-30,65.98,$0.66,99.97
2019-06-30,70.15,$0.32,219.22
2019-03-31,75.19,$0.50,150.38
2018-12-31,65.62,$0.45,145.82
2018-09-30,83.39,$0.75,111.19
2018-06-30,70.6,$0.84,84.05
2018-03-31,61.42,$0.83,74.0
2017-12-31,50.28,$0.82,61.32
2017-09-30,43.51,$0.26,167.35
2017-06-30,42.42,$0.14,303.0
2017-03-31,37.9,$-0.07,0.0
2016-12-31,34.95,$-0.23,0.0
2016-09-30,34.53,$-0.21,0.0
2016-06-30,31.19,$-0.30,0.0
2016-03-31,32.33,$-0.65,0.0
