Nucor PE Ratio Historical Data,Nucor PE Ratio Historical Data,Nucor PE Ratio Historical Data,Nucor PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,151.91,,10.95
2024-06-30,158.08,$13.87,11.4
2024-03-31,197.23,$17.00,11.6
2023-12-31,172.98,$17.99,9.62
2023-09-30,154.92,$19.72,7.86
2023-06-30,161.95,$21.65,7.48
2023-03-31,152.09,$25.51,5.96
2022-12-31,129.34,$28.73,4.5
2022-09-30,104.59,$31.81,3.29
2022-06-30,101.58,$32.59,3.12
2022-03-31,143.95,$27.96,5.15
2021-12-31,110.17,$23.39,4.71
2021-09-30,94.64,$16.72,5.66
2021-06-30,91.81,$10.07,9.12
2021-03-31,76.49,$5.39,14.19
2020-12-31,50.43,$2.64,19.1
2020-09-30,42.21,$2.24,18.84
2020-06-30,38.62,$2.87,13.46
2019-12-31,51.38,$4.14,12.41
2019-09-30,46.15,$5.86,7.88
2019-06-30,49.54,$5.03,9.85
2019-03-31,52.08,$5.90,8.83
2018-12-31,45.93,$6.40,7.18
2020-03-31,33.26,$5.43,6.13
2018-09-30,55.82,$6.56,8.51
2018-06-30,54.65,$5.26,10.39
2018-03-31,53.1,$4.13,12.86
2017-12-31,54.91,$4.14,13.26
2017-09-30,48.11,$3.44,13.99
2017-06-30,49.35,$3.45,14.3
2017-03-31,50.6,$3.18,15.91
2016-12-31,50.11,$2.29,21.88
2016-09-30,41.38,$1.60,25.86
2016-06-30,41.03,$1.47,27.91
2016-03-31,38.97,$1.13,34.49
2015-12-31,32.94,$1.12,29.41
2015-09-30,30.41,$1.96,15.52
2015-06-30,35.34,$2.01,17.58
2015-03-31,37.81,$2.08,18.18
2014-12-31,38.71,$2.22,17.44
2014-09-30,42.51,$2.10,20.24
2014-06-30,38.32,$1.80,21.29
2014-03-31,39.03,$1.61,24.24
2013-12-31,40.92,$1.69,24.22
2013-09-30,37.33,$1.51,24.72
2013-06-30,32.74,$1.40,23.39
2012-12-31,32.09,$1.59,20.18
2012-09-30,28.21,$1.59,17.74
2012-06-30,27.68,$1.50,18.45
2012-03-31,31.06,$1.72,18.06
2011-12-31,28.37,$2.20,12.9
2013-03-31,34.59,$2.27,15.24
2011-09-30,22.48,$1.97,11.41
2011-06-30,28.95,$1.47,19.7
2011-03-31,32.03,$0.82,39.06
2010-12-31,30.27,$0.42,72.06
2010-09-30,26.17,$0.64,40.89
2010-06-30,25.98,$0.47,55.27
2010-03-31,30.52,$-0.25,0.0
2009-12-31,31.13,$-0.95,0.0
