United Rentals PE Ratio Historical Data,United Rentals PE Ratio Historical Data,United Rentals PE Ratio Historical Data,United Rentals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,741.26,,19.57
2024-06-30,645.23,$37.88,17.03
2024-03-31,717.71,$36.92,19.44
2023-12-31,569.26,$35.35,16.1
2023-09-30,439.86,$34.49,12.75
2023-06-30,439.3,$32.86,13.37
2023-03-31,388.68,$31.18,12.47
2022-12-31,347.93,$29.76,11.69
2022-09-30,264.43,$27.22,9.71
2022-06-30,237.79,$24.19,9.83
2022-03-31,347.73,$21.31,16.32
2021-12-31,325.29,$19.06,17.07
2021-09-30,343.54,$16.54,20.77
2021-06-30,312.29,$13.78,22.66
2021-03-31,322.37,$12.69,25.4
2020-12-31,227.02,$14.38,15.79
2020-09-30,170.82,$15.37,11.11
2020-06-30,145.9,$15.94,9.15
2019-12-31,163.26,$15.20,10.74
2019-09-30,122.01,$14.51,8.41
2019-06-30,129.84,$11.76,11.04
2019-03-31,111.84,$12.33,9.07
2018-12-31,100.37,$13.34,7.52
2020-03-31,100.73,$11.69,8.62
2018-09-30,160.15,$19.81,8.08
2018-06-30,144.51,$18.13,7.97
2018-03-31,169.09,$16.21,10.43
2017-12-31,168.29,$15.86,10.61
2017-09-30,135.82,$7.57,17.94
2017-03-31,122.42,$6.76,18.11
2016-12-31,103.36,$6.49,15.93
2016-09-30,76.84,$6.50,11.82
2016-06-30,65.69,$5.99,10.97
2016-03-31,60.88,$6.72,9.06
2015-12-31,71.01,$6.59,10.78
2017-06-30,110.34,$5.94,18.57
2015-09-30,58.78,$6.17,9.53
2015-06-30,85.77,$5.76,14.89
2015-03-31,89.24,$5.78,15.44
2014-12-31,99.86,$5.18,19.28
2014-09-30,108.76,$4.61,23.59
2014-06-30,102.52,$4.12,24.88
2014-03-31,92.94,$4.00,23.23
2013-12-31,76.31,$3.63,21.02
2013-09-30,57.06,$2.72,20.98
2013-06-30,48.86,$2.07,23.6
2013-03-31,53.81,$0.66,81.53
2012-12-31,44.56,$0.64,69.63
2012-09-30,32.02,$0.63,50.83
2012-06-30,33.32,$0.84,39.67
2012-03-31,41.99,$1.84,22.82
2011-12-31,28.93,$1.33,21.75
2011-09-30,16.49,$0.59,27.94
2011-06-30,24.86,$0.01,2486.48
2011-03-31,32.58,$-0.18,0.0
2010-12-31,22.27,$-0.51,0.0
2010-09-30,14.53,$-0.59,0.0
2010-06-30,9.12,$-0.92,0.0
2010-03-31,9.18,$-1.38,0.0
2009-12-31,9.6,$-1.03,0.0
