CBRE PE Ratio Historical Data,CBRE PE Ratio Historical Data,CBRE PE Ratio Historical Data,CBRE PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,115.14,,38.51
2024-06-30,89.11,$2.99,29.8
2024-03-31,97.24,$3.21,30.29
2023-12-31,93.09,$3.17,29.37
2023-09-30,73.86,$1.87,39.5
2023-06-30,80.71,$2.64,30.57
2023-03-31,72.81,$3.48,20.92
2022-12-31,76.96,$4.27,18.02
2022-09-30,67.51,$6.06,11.14
2022-06-30,73.61,$5.96,12.35
2022-03-31,91.52,$5.78,15.83
2021-12-31,108.51,$5.40,20.09
2021-09-30,97.36,$4.29,22.69
2021-06-30,85.73,$3.56,24.08
2021-03-31,79.11,$2.50,31.64
2020-12-31,62.72,$2.23,28.13
2020-09-30,46.97,$3.17,14.82
2020-06-30,45.22,$3.37,13.42
2020-03-31,37.71,$3.79,9.95
2019-12-31,61.29,$3.76,16.3
2019-09-30,53.01,$3.04,17.44
2019-06-30,51.3,$3.14,16.34
2019-03-31,49.45,$3.15,15.7
2018-12-31,40.04,$3.11,12.87
2018-09-30,44.1,$2.45,18.0
2018-06-30,47.74,$2.18,21.9
2018-03-31,47.22,$2.09,22.59
2017-12-31,43.31,$2.03,21.33
2017-09-30,37.88,$2.32,16.33
2017-06-30,36.4,$2.05,17.76
2017-03-31,34.79,$1.83,19.01
2016-12-31,31.49,$1.69,18.63
2016-09-30,27.98,$1.44,19.43
2016-06-30,26.48,$1.57,16.87
2016-03-31,28.82,$1.58,18.24
2015-12-31,34.58,$1.62,21.35
2015-09-30,32.0,$1.70,18.82
2015-06-30,37.0,$1.58,23.42
2015-03-31,38.71,$1.53,25.3
2014-12-31,34.25,$1.45,23.62
2014-09-30,29.74,$1.18,25.2
2014-06-30,32.04,$1.14,28.11
2014-03-31,27.43,$1.03,26.63
2013-12-31,26.3,$0.94,27.98
2013-09-30,23.13,$1.13,20.47
2013-06-30,23.36,$0.97,24.08
2013-03-31,25.25,$0.99,25.51
2012-12-31,19.9,$0.96,20.73
2012-09-30,18.41,$0.68,27.07
2012-06-30,16.36,$0.76,21.53
2012-03-31,19.96,$0.72,27.72
2011-12-31,15.22,$0.75,20.29
2011-09-30,13.46,$0.80,16.83
2011-06-30,25.11,$0.78,32.19
2011-03-31,26.7,$0.76,35.13
2010-12-31,20.48,$0.63,32.51
2010-09-30,18.28,$0.54,33.85
2010-06-30,13.61,$0.40,34.03
2010-03-31,15.85,$0.20,79.25
2009-12-31,13.57,$0.08,169.63
