Paychex PE Ratio Historical Data,Paychex PE Ratio Historical Data,Paychex PE Ratio Historical Data,Paychex PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,131.2,,28.09
2024-05-31,119.22,$4.67,25.53
2024-02-29,120.69,$4.59,26.29
2023-11-30,119.18,$4.50,26.48
2023-08-31,118.51,$4.41,26.87
2023-05-31,101.01,$4.30,23.49
2023-02-28,105.41,$4.15,25.4
2022-11-30,117.62,$4.05,29.04
2022-08-31,116.18,$3.97,29.26
2022-05-31,115.95,$3.84,30.2
2022-02-28,110.75,$3.75,29.53
2021-11-30,110.25,$3.53,31.23
2021-08-31,105.31,$3.37,31.25
2021-05-31,92.51,$3.04,30.43
2021-02-28,82.75,$2.92,28.34
2020-11-30,84.04,$2.93,28.68
2020-08-31,68.47,$2.90,23.61
2020-05-31,64.17,$3.04,21.11
2020-02-29,68.12,$3.07,22.19
2019-11-30,75.17,$2.99,25.14
2019-08-31,70.79,$2.92,24.24
2019-05-31,73.78,$2.86,25.8
2019-02-28,65.75,$2.85,23.07
2018-11-30,59.94,$2.67,22.45
2018-08-31,61.52,$2.62,23.48
2018-05-31,54.63,$2.58,21.18
2018-02-28,53.77,$2.49,21.59
2017-11-30,55.17,$2.33,23.68
2017-08-31,46.38,$2.29,20.25
2017-05-31,47.75,$2.26,21.13
2017-02-28,49.13,$2.21,22.23
2016-11-30,46.8,$2.15,21.77
2016-08-31,47.77,$2.11,22.64
2016-05-31,42.36,$2.09,20.27
2016-02-29,39.82,$2.04,19.52
2015-11-30,41.66,$2.00,20.83
2015-08-31,34.02,$1.95,17.45
2015-05-31,37.3,$1.84,20.27
2015-02-28,37.33,$1.80,20.74
2014-11-30,35.22,$1.78,19.79
2014-08-31,30.69,$1.74,17.64
2014-05-31,30.02,$1.71,17.55
2014-02-28,30.23,$1.65,18.32
2013-11-30,31.4,$1.61,19.5
2013-08-31,27.55,$1.59,17.32
2013-05-31,26.28,$1.57,16.74
2013-02-28,23.37,$1.57,14.88
2012-11-30,22.52,$1.54,14.62
2012-08-31,22.78,$1.52,14.99
2012-05-31,20.33,$1.51,13.47
2012-02-29,21.01,$1.50,14.01
2011-11-30,19.34,$1.49,12.98
2011-08-31,17.74,$1.47,12.07
2011-05-31,21.0,$1.42,14.79
2011-02-28,21.66,$1.41,15.36
2010-11-30,18.21,$1.36,13.39
2010-08-31,15.7,$1.34,11.72
2010-05-31,17.79,$1.32,13.48
2010-02-28,18.48,$1.32,14.0
2009-11-30,19.15,$1.37,13.98
