Emerson Electric PE Ratio Historical Data,Emerson Electric PE Ratio Historical Data,Emerson Electric PE Ratio Historical Data,Emerson Electric PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,105.39,,35.37
2024-06-30,109.6,$2.98,36.78
2024-03-31,112.32,$18.69,6.01
2023-12-31,95.91,$19.20,5.0
2023-09-30,94.6,$22.92,4.13
2023-06-30,88.06,$22.87,3.85
2023-03-31,84.36,$8.13,10.38
2022-12-31,92.44,$7.88,11.73
2022-09-30,70.05,$5.41,12.95
2022-06-30,75.65,$5.28,14.33
2022-03-31,92.68,$4.78,19.39
2021-12-31,87.42,$4.58,19.09
2021-09-30,88.11,$3.82,23.06
2021-06-30,89.58,$3.91,22.91
2021-03-31,83.53,$3.54,23.6
2020-12-31,73.97,$3.45,21.44
2020-09-30,59.94,$3.24,18.5
2020-06-30,56.31,$3.20,17.6
2020-03-31,42.85,$3.50,12.24
2019-12-31,68.11,$3.50,19.46
2019-09-30,59.31,$3.71,15.99
2019-06-30,58.68,$3.52,16.67
2019-03-31,59.77,$3.67,16.29
2018-12-31,51.78,$3.59,14.42
2018-09-30,65.89,$3.46,19.04
2018-06-30,59.1,$3.27,18.07
2018-03-31,57.99,$2.79,20.79
2017-12-31,58.77,$2.48,23.7
2017-09-30,52.57,$2.35,22.37
2017-06-30,49.48,$2.25,21.99
2017-03-31,49.27,$2.35,20.97
2016-12-31,45.55,$2.47,18.44
2016-09-30,44.12,$2.52,17.51
2016-06-30,41.85,$2.82,14.84
2016-03-31,43.24,$2.92,14.81
2015-12-31,37.64,$3.77,9.98
2015-09-30,34.42,$3.99,8.63
2015-06-30,42.78,$3.59,11.92
2015-03-31,43.36,$3.78,11.47
2014-12-31,46.9,$3.13,14.98
2014-09-30,47.2,$3.03,15.58
2014-06-30,49.71,$3.55,14.0
2014-03-31,49.72,$2.79,17.82
2013-12-31,51.89,$2.79,18.6
2013-09-30,47.53,$2.76,17.22
2013-06-30,39.81,$2.05,19.42
2013-03-31,40.49,$2.82,14.36
2012-12-31,38.12,$2.79,13.66
2012-09-30,34.45,$2.67,12.9
2012-06-30,32.99,$3.29,10.03
2012-03-31,36.65,$3.15,11.63
2011-12-31,32.47,$3.14,10.34
2011-09-30,28.57,$3.27,8.74
2011-06-30,38.58,$3.24,11.91
2011-03-31,39.83,$3.11,12.81
2010-12-31,38.75,$2.91,13.32
2010-09-30,35.47,$2.95,12.02
2010-06-30,29.23,$2.48,11.79
2010-03-31,33.45,$2.20,15.21
2009-09-30,26.23,$2.23,11.76
