Realty Income PE Ratio Historical Data,Realty Income PE Ratio Historical Data,Realty Income PE Ratio Historical Data,Realty Income PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,62.11,,57.51
2024-06-30,52.32,$1.08,48.44
2024-03-31,53.33,$1.08,49.38
2023-12-31,55.8,$1.26,44.28
2023-09-30,47.83,$1.32,36.23
2023-06-30,56.47,$1.34,42.14
2023-03-31,59.06,$1.42,41.59
2022-12-31,58.47,$1.42,41.18
2022-09-30,53.02,$1.07,49.55
2022-06-30,61.5,$1.06,58.01
2022-03-31,61.76,$1.02,60.55
2021-12-31,63.12,$0.94,67.15
2021-09-30,56.59,$1.26,44.91
2021-06-30,57.64,$0.99,58.22
2021-03-31,54.28,$0.97,55.96
2020-12-31,52.53,$1.15,45.68
2020-09-30,50.73,$1.21,41.93
2020-06-30,49.12,$1.46,33.65
2020-03-31,40.66,$1.46,27.85
2019-12-31,59.4,$1.39,42.73
2019-09-30,61.31,$1.29,47.53
2019-06-30,54.64,$1.31,41.71
2019-03-31,57.71,$1.34,43.07
2018-12-31,48.99,$1.26,38.88
2018-09-30,43.89,$1.19,36.89
2018-06-30,41.03,$1.17,35.06
2018-03-31,38.96,$1.13,34.48
2017-12-31,42.4,$1.11,38.2
2017-09-30,42.04,$1.22,34.46
2017-06-30,40.12,$1.17,34.29
2017-03-31,42.8,$1.14,37.54
2016-12-31,40.9,$1.12,36.51
2016-09-30,47.12,$1.10,42.84
2016-06-30,48.4,$1.09,44.4
2016-03-31,43.2,$1.07,40.38
2015-12-31,35.32,$1.09,32.41
2015-09-30,32.06,$1.10,29.14
2015-06-30,29.67,$1.10,26.97
2015-03-31,34.06,$1.08,31.54
2014-12-31,31.15,$1.04,29.95
2014-09-30,26.33,$0.98,26.86
2014-06-30,28.31,$0.93,30.44
2014-03-31,25.71,$0.93,27.65
2013-12-31,23.19,$1.06,21.88
2013-09-30,24.35,$1.01,24.11
2013-06-30,25.35,$1.00,25.35
2013-03-31,27.1,$1.02,26.57
2012-12-31,23.74,$0.86,27.6
2012-09-30,23.86,$0.91,26.22
2012-06-30,24.12,$0.98,24.61
2012-03-31,22.11,$0.99,22.34
2011-12-31,19.73,$1.04,18.97
2011-09-30,17.89,$1.06,16.88
2011-06-30,18.34,$1.04,17.64
2011-03-31,18.91,$1.02,18.53
2010-12-31,18.27,$1.00,18.27
2010-09-30,17.79,$1.00,17.79
2010-06-30,15.79,$1.01,15.64
2010-03-31,15.77,$1.03,15.31
2009-12-31,13.12,$1.03,12.74
