L3Harris Technologies Inc PE Ratio Historical Data,L3Harris Technologies Inc PE Ratio Historical Data,L3Harris Technologies Inc PE Ratio Historical Data,L3Harris Technologies Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,236.67,,37.87
2024-06-30,224.58,$6.25,35.93
2024-03-31,213.1,$6.16,34.59
2023-12-31,209.48,$6.44,32.53
2023-09-30,172.12,$7.78,22.12
2023-06-30,193.53,$4.20,46.08
2023-03-31,193.99,$4.79,40.5
2022-12-31,204.68,$5.47,37.42
2022-09-30,203.28,$5.76,35.29
2022-06-30,236.41,$9.71,24.35
2022-03-31,243.03,$9.30,26.13
2021-12-31,207.66,$9.11,22.79
2021-09-30,213.48,$7.56,28.24
2021-06-30,208.61,$7.15,29.18
2021-03-31,194.7,$6.44,30.23
2020-12-31,181.58,$5.18,35.05
2020-09-30,163.15,$4.27,38.21
2020-06-30,162.99,$4.19,38.9
