McDonald's PE Ratio Historical Data,McDonald's PE Ratio Historical Data,McDonald's PE Ratio Historical Data,McDonald's PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,288.66,,25.25
2024-06-30,254.84,$11.43,22.3
2024-03-31,281.95,$11.78,23.93
2023-12-31,294.83,$11.71,25.18
2023-09-30,260.4,$11.59,22.47
2023-06-30,293.38,$10.02,29.28
2022-12-31,256.26,$8.35,30.69
2022-09-30,223.13,$7.94,28.1
2022-06-30,237.44,$7.71,30.8
2022-03-31,236.51,$8.97,26.37
2021-12-31,254.96,$10.44,24.42
2023-03-31,273.46,$10.31,26.52
2021-09-30,228.03,$9.70,23.51
2021-06-30,217.28,$9.19,23.64
2021-03-31,209.68,$6.89,30.43
2020-12-31,199.49,$6.31,31.61
2020-09-30,202.85,$6.55,30.97
2020-06-30,169.49,$6.31,26.86
2020-03-31,150.91,$7.63,19.78
2019-12-31,179.2,$7.88,22.74
2019-09-30,193.47,$7.62,25.39
2019-06-30,186.12,$7.61,24.46
2019-03-31,169.21,$7.54,22.44
2018-12-31,157.24,$7.54,20.85
2018-09-30,147.23,$6.59,22.34
2018-06-30,137.04,$6.81,20.12
2018-03-31,135.91,$6.61,20.56
2017-12-31,148.64,$6.36,23.37
2017-09-30,134.52,$6.93,19.41
2017-06-30,130.72,$6.11,21.39
2017-03-31,109.94,$5.66,19.42
2016-12-31,102.49,$5.50,18.64
2016-09-30,96.39,$5.46,17.65
2016-06-30,99.78,$5.22,19.11
2015-12-31,96.51,$4.81,20.06
2015-09-30,79.87,$4.63,17.25
2015-06-30,76.39,$4.46,17.13
2015-03-31,77.61,$4.29,18.09
2014-12-31,74.0,$4.85,15.26
2016-03-31,103.45,$4.93,20.98
2014-09-30,74.22,$5.10,14.55
2014-06-30,78.19,$5.53,14.14
2014-03-31,75.48,$5.51,13.7
2013-12-31,74.08,$5.56,13.32
2013-09-30,72.84,$5.54,13.15
2013-06-30,74.35,$5.45,13.64
2013-03-31,74.28,$5.39,13.78
2012-12-31,65.2,$5.36,12.16
2012-09-30,67.22,$5.31,12.66
2012-06-30,64.35,$5.33,12.07
2012-03-31,70.76,$5.36,13.2
2011-12-31,71.86,$5.28,13.61
2011-09-30,62.43,$5.11,12.22
2011-06-30,59.55,$4.95,12.03
2011-03-31,53.33,$4.73,11.28
2010-12-31,53.37,$4.58,11.65
2010-09-30,51.4,$4.53,11.35
2010-06-30,45.1,$4.39,10.27
2010-03-31,45.31,$4.24,10.69
2009-12-31,42.05,$4.11,10.23
