Steel Dynamics PE Ratio Historical Data,Steel Dynamics PE Ratio Historical Data,Steel Dynamics PE Ratio Historical Data,Steel Dynamics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,119.51,,9.58
2024-06-30,129.5,$12.47,10.38
2024-03-31,147.71,$14.56,10.14
2023-12-31,117.31,$14.59,8.04
2023-09-30,106.13,$15.59,6.81
2023-06-30,107.39,$17.15,6.26
2023-03-31,111.03,$18.78,5.91
2022-12-31,95.58,$20.79,4.6
2022-09-30,69.17,$22.67,3.05
2022-06-30,64.18,$22.49,2.85
2022-03-31,80.54,$19.37,4.16
2021-12-31,59.68,$15.69,3.8
2021-09-30,55.99,$11.09,5.05
2021-06-30,56.81,$6.71,8.47
2021-03-31,48.17,$3.75,12.85
2020-12-31,34.82,$2.60,13.39
2020-09-30,26.85,$2.27,11.83
2020-06-30,24.26,$2.49,9.74
2020-03-31,20.76,$3.00,6.92
2019-12-31,30.99,$3.03,10.23
2019-09-30,26.94,$3.64,7.4
2019-06-30,27.08,$4.64,5.84
2019-03-31,31.38,$5.30,5.92
2018-12-31,26.54,$5.35,4.96
2018-09-30,39.68,$5.46,7.27
2018-06-30,40.18,$4.41,9.11
2018-03-31,38.51,$3.51,10.97
2017-12-31,37.4,$3.37,11.1
2017-09-30,29.78,$2.17,13.72
2017-06-30,30.8,$2.17,14.19
2017-03-31,29.77,$2.12,14.04
2016-12-31,30.33,$1.56,19.44
2016-09-30,21.22,$0.44,48.23
2016-06-30,20.69,$0.05,413.86
2016-03-31,18.9,$-0.40,0.0
2015-12-31,14.91,$-0.53,0.0
2015-09-30,14.23,$0.32,44.46
2015-06-30,17.01,$0.45,37.81
2015-03-31,16.41,$0.63,26.04
2014-12-31,16.0,$0.67,23.88
2014-09-30,18.22,$1.10,16.56
2014-06-30,14.39,$0.97,14.84
2014-03-31,14.17,$0.79,17.94
2013-12-31,15.47,$0.83,18.63
2013-09-30,13.16,$0.86,15.3
2013-06-30,11.66,$0.67,17.4
2013-03-31,12.32,$0.74,16.65
2012-12-31,10.58,$0.73,14.5
2012-09-30,8.6,$0.60,14.33
2012-06-30,8.89,$0.73,12.18
2012-03-31,10.93,$0.96,11.39
2011-12-31,9.82,$1.22,8.05
2011-09-30,7.35,$1.12,6.56
2011-06-30,11.92,$1.02,11.69
2011-03-31,13.68,$0.81,16.89
2010-12-31,13.27,$0.64,20.74
2010-09-30,10.19,$0.72,14.16
2010-06-30,9.48,$0.93,10.19
2010-03-31,12.49,$0.63,19.82
2009-12-31,12.61,$-0.14,0.0
