Catalent PE Ratio Historical Data,Catalent PE Ratio Historical Data,Catalent PE Ratio Historical Data,Catalent PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,60.96,,0.0
2024-03-31,56.45,$-6.10,0.0
2023-12-31,44.93,$-6.80,0.0
2023-09-30,45.53,$-5.68,0.0
2023-06-30,43.36,$-0.70,0.0
2023-03-31,65.71,$0.56,117.34
2022-09-30,72.36,$2.34,30.92
2022-06-30,107.29,$2.83,37.91
2022-03-31,110.9,$2.76,40.18
2021-12-31,128.03,$2.42,52.9
2021-09-30,133.07,$3.16,42.11
2021-06-30,108.12,$3.12,34.65
2022-12-31,45.01,$2.56,17.58
2021-03-31,105.31,$2.97,35.46
2020-12-31,104.07,$1.79,58.14
2020-09-30,85.66,$1.57,54.56
2020-06-30,73.3,$1.11,66.04
2020-03-31,51.95,$0.70,74.21
2019-12-31,56.3,$0.84,67.02
2019-09-30,47.66,$0.94,50.7
2019-06-30,54.21,$0.89,60.91
2019-03-31,40.59,$1.06,38.29
2018-12-31,31.18,$0.98,31.82
2018-09-30,45.55,$0.49,92.96
2018-06-30,41.89,$0.62,67.56
2018-03-31,41.06,$0.50,82.12
2017-12-31,41.08,$0.57,72.07
2017-09-30,39.92,$0.77,51.84
2017-06-30,35.1,$1.20,29.25
2017-03-31,28.32,$0.79,35.85
2016-09-30,25.84,$0.82,31.51
2016-06-30,22.99,$0.85,27.05
2016-03-31,26.67,$1.61,16.57
2015-12-31,25.03,$1.67,14.99
2015-09-30,24.3,$1.68,14.46
2015-06-30,29.33,$1.98,14.81
2016-12-31,26.96,$0.58,46.48
