Alliant Energy PE Ratio Historical Data,Alliant Energy PE Ratio Historical Data,Alliant Energy PE Ratio Historical Data,Alliant Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,58.27,,23.78
2024-06-30,50.46,$2.45,20.6
2024-03-31,49.49,$2.75,18.0
2023-12-31,49.89,$2.78,17.94
2023-09-30,46.68,$2.74,17.04
2023-06-30,50.14,$2.62,19.14
2023-03-31,50.6,$2.61,19.39
2022-12-31,51.88,$2.73,19.0
2022-09-30,49.39,$2.65,18.64
2022-06-30,54.24,$2.77,19.58
2022-03-31,57.42,$2.71,21.19
2021-12-31,56.09,$2.62,21.41
2021-09-30,50.72,$2.53,20.05
2021-06-30,50.18,$2.49,20.15
2021-03-31,48.39,$2.46,19.67
2020-12-31,45.66,$2.24,20.39
2020-09-30,45.46,$2.92,15.57
2020-06-30,41.81,$2.34,17.87
2019-12-31,47.16,$2.33,20.24
2019-09-30,46.17,$2.23,20.7
2019-06-30,41.72,$1.99,20.96
2019-03-31,39.75,$2.46,16.16
2018-12-31,35.35,$2.36,14.98
2020-03-31,41.88,$2.52,16.62
2018-09-30,35.34,$2.23,15.85
2018-06-30,34.86,$2.09,16.68
2018-03-31,33.4,$2.07,16.13
2017-12-31,34.53,$1.99,17.35
2017-09-30,33.45,$1.86,17.98
2017-06-30,32.07,$1.70,18.87
2017-03-31,31.37,$1.66,18.9
2016-12-31,29.76,$1.65,18.09
2016-09-30,29.85,$1.52,19.7
2016-06-30,30.7,$1.74,17.65
2016-03-31,28.48,$1.67,17.06
2015-12-31,23.72,$1.68,14.12
2015-09-30,22.01,$1.80,12.23
2015-06-30,21.53,$1.70,12.7
2015-03-31,23.29,$1.68,13.91
2014-12-31,24.36,$1.73,14.12
2014-09-30,20.15,$1.75,11.52
2014-06-30,21.95,$1.77,12.4
2014-03-31,20.31,$1.79,11.38
2013-12-31,18.26,$1.62,11.31
2013-09-30,17.38,$1.63,10.66
2013-06-30,17.53,$1.60,10.96
2013-03-31,17.29,$1.61,10.77
2012-12-31,14.98,$1.45,10.33
2012-09-30,14.65,$1.40,10.5
2012-06-30,15.24,$1.27,12.05
2012-03-31,14.34,$1.20,12.0
2011-12-31,14.45,$1.37,10.59
2011-09-30,12.54,$1.33,9.47
2011-06-30,13.04,$1.45,9.0
2011-03-31,12.35,$1.44,8.61
2010-12-31,11.54,$1.30,8.87
2010-09-30,11.28,$1.33,8.48
2010-06-30,9.74,$0.46,21.4
2010-03-31,10.09,$0.37,27.26
2009-12-31,9.06,$0.51,17.94
