Juniper Networks PE Ratio Historical Data,Juniper Networks PE Ratio Historical Data,Juniper Networks PE Ratio Historical Data,Juniper Networks PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,38.88,,54.0
2024-06-30,36.25,$0.72,50.35
2024-03-31,36.85,$0.69,53.41
2023-12-31,29.14,$0.95,30.67
2023-09-30,27.26,$1.12,24.34
2023-06-30,30.5,$1.25,24.4
2023-03-31,33.27,$1.53,21.74
2022-12-31,30.67,$1.44,21.3
2022-09-30,24.91,$1.29,19.31
2022-06-30,26.98,$1.19,22.67
2022-03-31,34.94,$1.03,33.92
2021-12-31,33.37,$0.95,35.12
2021-09-30,25.55,$0.98,26.07
2021-06-30,25.22,$0.89,28.34
2020-12-31,20.42,$0.76,26.87
2020-09-30,19.33,$1.16,16.66
2020-06-30,20.39,$0.63,32.37
2020-03-31,16.93,$0.74,22.88
2019-12-31,21.59,$0.81,26.65
2021-03-31,23.18,$0.41,56.54
2019-09-30,21.53,$1.06,20.31
2019-06-30,22.97,$1.41,16.29
2019-03-31,22.66,$1.61,14.07
2018-12-31,22.87,$1.62,14.12
2018-09-30,25.47,$0.67,38.02
2018-06-30,23.16,$0.49,47.27
2018-03-31,20.41,$0.63,32.4
2017-12-31,23.74,$0.81,29.31
2017-09-30,23.1,$1.72,13.43
2017-06-30,23.06,$1.71,13.49
2017-03-31,22.94,$1.60,14.34
2016-12-31,23.21,$1.55,14.98
2016-09-30,19.69,$1.55,12.7
2016-06-30,18.33,$1.61,11.38
2016-03-31,20.7,$1.65,12.54
2015-12-31,22.3,$1.61,13.85
2015-09-30,20.71,$-0.71,0.0
2015-06-30,20.84,$-0.99,0.0
2015-03-31,18.05,$-0.93,0.0
2014-12-31,17.77,$-0.82,0.0
2014-09-30,17.55,$1.18,14.88
2014-06-30,19.37,$1.14,16.99
2013-12-31,17.81,$0.86,20.71
2013-09-30,15.67,$0.75,20.9
2013-06-30,15.24,$0.78,19.54
2013-03-31,14.63,$0.62,23.6
2012-12-31,15.52,$0.55,28.22
2014-03-31,20.33,$0.39,52.12
2012-09-30,13.5,$0.35,38.58
2012-06-30,12.87,$0.48,26.81
2012-03-31,18.06,$0.58,31.13
2011-12-31,16.11,$0.79,20.39
2011-09-30,13.62,$0.96,14.19
2011-06-30,24.86,$1.05,23.67
2011-03-31,33.21,$1.08,30.75
2010-12-31,29.14,$1.14,25.56
2010-09-30,23.95,$1.03,23.25
2010-06-30,18.01,$0.94,19.16
2010-03-31,24.21,$0.73,33.17
2009-12-31,21.05,$0.42,50.11
