Costco PE Ratio Historical Data,Costco PE Ratio Historical Data,Costco PE Ratio Historical Data,Costco PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,892.38,,55.29
2024-05-31,808.74,$16.14,50.11
2024-02-29,741.64,$15.29,48.51
2023-11-30,577.11,$14.67,39.34
2023-08-31,533.82,$14.16,37.7
2023-05-31,496.21,$13.50,36.76
2023-02-28,468.68,$13.61,34.44
2022-11-30,521.09,$13.23,39.39
2022-08-31,503.6,$13.14,38.33
2022-05-31,448.95,$12.70,35.35
2022-02-28,499.21,$12.41,40.23
2021-11-30,517.78,$11.63,44.52
2021-08-31,436.55,$11.27,38.74
2021-05-31,361.87,$10.64,34.01
2021-02-28,315.98,$9.78,32.31
2020-11-30,363.87,$9.74,37.36
2020-08-31,322.28,$9.59,33.61
2020-05-31,285.34,$8.51,33.53
2020-02-29,259.46,$8.63,30.06
2019-08-31,270.87,$8.26,32.79
2019-05-31,219.68,$8.15,26.95
2019-02-28,200.04,$8.00,25.0
2018-11-30,210.93,$7.69,27.43
2018-08-31,212.11,$7.55,28.09
2019-11-30,276.11,$6.64,41.58
2018-05-31,179.92,$6.82,26.38
2018-02-28,172.75,$6.71,25.75
2017-11-30,166.47,$6.29,26.47
2017-08-31,141.06,$6.08,23.2
2017-05-31,161.87,$5.77,28.05
2017-02-28,152.32,$5.42,28.1
2016-11-30,128.7,$5.49,23.44
2016-08-31,138.55,$5.34,25.95
2016-05-31,126.82,$5.30,23.93
2016-02-29,127.52,$5.23,24.38
2015-11-30,136.83,$5.34,25.62
2015-08-31,118.41,$5.37,22.05
2015-05-31,120.23,$5.22,23.03
2015-02-28,123.58,$5.10,24.23
2014-11-30,115.35,$4.71,24.49
2014-08-31,98.02,$4.99,19.64
2014-02-28,93.98,$4.45,21.12
2013-11-30,100.65,$4.64,21.69
2013-08-31,89.55,$4.63,19.34
2013-05-31,87.53,$4.62,18.95
2013-02-28,80.65,$4.46,18.08
2012-11-30,77.04,$4.12,18.7
2012-08-31,72.34,$3.90,18.55
2012-05-31,63.68,$3.59,17.74
2012-02-29,63.22,$3.78,16.73
2011-11-30,62.49,$3.61,17.31
2011-08-31,57.37,$3.67,15.63
2014-05-31,93.64,$3.30,28.38
2011-05-31,60.06,$3.20,18.77
2011-02-28,54.3,$3.15,17.24
2010-11-30,48.96,$3.03,16.16
2010-08-31,40.78,$2.92,13.97
2010-05-31,41.89,$2.80,14.96
2010-02-28,43.7,$2.60,16.81
2009-11-30,42.81,$2.48,17.26
