Prudential Financial PE Ratio Historical Data,Prudential Financial PE Ratio Historical Data,Prudential Financial PE Ratio Historical Data,Prudential Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,121.16,,15.57
2024-06-30,115.86,$7.78,14.89
2024-03-31,114.8,$5.88,19.52
2023-12-31,100.2,$6.69,14.98
2023-09-30,90.48,$1.55,58.37
2023-06-30,82.98,$3.00,27.66
2023-03-31,76.66,$0.09,851.75
2022-12-31,91.03,$-3.94,0.0
2022-09-30,77.64,$0.72,107.83
2022-06-30,85.56,$5.40,15.84
2022-03-31,104.44,$12.33,8.47
2021-12-31,94.68,$19.41,4.88
2021-09-30,91.05,$18.31,4.97
2021-06-30,87.72,$18.11,4.84
2021-03-31,77.15,$6.59,11.71
2020-12-31,65.19,$-1.09,0.0
2020-09-30,52.29,$-0.36,0.0
2020-06-30,49.35,$-0.62,0.0
2020-03-31,41.44,$7.21,5.75
2019-12-31,73.65,$10.13,7.27
2019-09-30,69.92,$9.36,7.47
2019-06-30,77.57,$9.82,7.9
2019-03-31,69.85,$8.57,8.15
2018-12-31,61.34,$9.49,6.46
2018-09-30,75.46,$16.11,4.68
2018-06-30,69.01,$17.30,3.99
2018-03-31,75.75,$17.96,4.22
2017-12-31,83.42,$17.91,4.66
2017-09-30,76.61,$9.94,7.71
2017-06-30,77.35,$8.92,8.67
2017-03-31,75.76,$10.73,7.06
2016-12-31,73.4,$9.24,7.94
2016-09-30,57.19,$11.76,4.86
2016-03-31,49.68,$10.72,4.63
2015-12-31,55.4,$12.16,4.56
2015-09-30,51.45,$7.87,6.54
2015-06-30,58.66,$6.76,8.68
2015-03-31,53.47,$4.72,11.33
2014-12-31,59.8,$2.57,23.27
2016-06-30,49.51,$7.85,6.31
2014-09-30,57.74,$4.86,11.88
2014-06-30,57.93,$5.94,9.75
2014-03-31,54.89,$2.59,21.19
2013-12-31,59.42,$-1.55,0.0
2013-09-30,49.95,$-1.07,0.0
2013-06-30,46.54,$-4.55,0.0
2013-03-31,37.37,$1.22,30.63
2012-12-31,33.55,$0.68,49.33
2012-09-30,33.2,$2.40,13.83
2012-06-30,29.5,$6.87,4.29
2012-03-31,38.61,$3.91,9.87
2011-12-31,30.52,$7.19,4.25
2011-09-30,27.71,$6.37,4.35
2011-06-30,37.61,$5.78,6.51
2011-03-31,36.42,$5.79,6.29
2010-12-31,34.72,$5.74,6.05
2010-09-30,31.37,$9.10,3.45
2010-06-30,31.07,$8.98,3.46
2010-03-31,35.03,$8.54,4.1
2009-12-31,28.81,$7.39,3.9
