Rollins PE Ratio Historical Data,Rollins PE Ratio Historical Data,Rollins PE Ratio Historical Data,Rollins PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,50.18,,53.38
2024-06-30,48.64,$0.94,51.74
2024-03-31,45.98,$0.89,51.66
2023-12-31,43.24,$0.88,49.13
2023-09-30,36.81,$0.83,44.35
2023-06-30,42.1,$0.79,53.3
2023-03-31,36.78,$0.77,47.76
2022-12-31,35.68,$0.74,48.21
2022-09-30,33.76,$0.70,48.22
2022-06-30,33.9,$0.67,50.59
2022-03-31,33.92,$0.67,50.63
2021-12-31,33.0,$0.71,46.49
2021-09-30,33.91,$0.71,47.76
2021-06-30,32.76,$0.68,48.17
2021-03-31,32.9,$0.63,51.95
2020-12-31,37.26,$0.53,70.31
2020-09-30,34.33,$0.51,67.75
2020-06-30,26.82,$0.43,61.87
2020-03-31,22.82,$0.41,55.2
2019-12-31,20.87,$0.42,49.7
2019-09-30,21.36,$0.42,50.86
2019-06-30,22.42,$0.47,47.59
2019-03-31,25.94,$0.47,55.06
2018-12-31,22.43,$0.48,47.17
2018-09-30,25.03,$0.44,57.46
2018-06-30,21.63,$0.40,53.48
2018-03-31,20.94,$0.38,54.76
2017-12-31,19.03,$0.36,52.21
2017-09-30,18.78,$0.37,50.3
2017-06-30,16.53,$0.37,44.8
2017-03-31,15.03,$0.36,42.27
2016-12-31,13.63,$0.34,39.82
2016-09-30,11.74,$0.33,35.21
2016-06-30,11.69,$0.32,36.03
2016-03-31,10.79,$0.32,33.73
2015-12-31,10.27,$0.32,32.54
2015-09-30,10.58,$0.31,34.02
2015-06-30,11.2,$0.30,37.26
2015-03-31,9.68,$0.29,33.33
2014-12-31,8.61,$0.28,30.57
2014-09-30,7.57,$0.28,27.45
2014-06-30,7.72,$0.27,28.96
2014-03-31,7.76,$0.26,30.09
2013-12-31,7.74,$0.25,30.73
2013-09-30,6.75,$0.24,27.79
2013-06-30,6.57,$0.23,28.08
2013-03-31,6.21,$0.23,27.22
2012-12-31,5.55,$0.23,24.35
2012-09-30,5.86,$0.23,26.05
2012-06-30,5.59,$0.22,25.5
2012-03-31,5.3,$0.21,24.83
2011-12-31,5.51,$0.20,26.96
2011-09-30,4.63,$0.20,23.3
2011-06-30,5.02,$0.19,26.32
2011-03-31,4.98,$0.18,27.11
2010-12-31,4.83,$0.18,26.7
2010-09-30,3.8,$0.18,20.89
2010-06-30,3.35,$0.18,19.04
2010-03-31,3.49,$0.17,20.31
2009-12-31,3.09,$0.17,18.41
