Fastenal PE Ratio Historical Data,Fastenal PE Ratio Historical Data,Fastenal PE Ratio Historical Data,Fastenal PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,68.28,,33.97
2024-06-30,62.49,$2.01,31.09
2024-03-31,76.28,$2.02,37.76
2023-12-31,63.68,$2.02,31.52
2023-09-30,53.06,$1.99,26.66
2023-06-30,56.95,$1.97,28.91
2023-03-31,51.73,$1.95,26.53
2022-12-31,45.07,$1.90,23.72
2022-09-30,43.56,$1.87,23.3
2022-06-30,46.93,$1.79,26.22
2022-03-31,55.54,$1.71,32.48
2021-12-31,59.57,$1.61,37.0
2021-09-30,47.75,$1.55,30.81
2021-06-30,47.87,$1.51,31.7
2021-03-31,46.03,$1.51,30.49
2020-12-31,44.44,$1.49,29.83
2020-09-30,40.47,$1.46,27.72
2020-06-30,38.25,$1.45,26.38
2020-03-31,27.71,$1.39,19.94
2019-12-31,32.54,$1.38,23.58
2019-09-30,28.6,$1.37,20.95
2019-06-30,28.34,$1.34,21.15
2019-03-31,27.79,$1.35,20.59
2018-12-31,22.44,$1.32,17.06
2018-09-30,24.7,$1.29,19.22
2018-06-30,20.34,$1.19,17.1
2018-03-31,22.9,$1.08,21.21
2017-12-31,22.79,$1.01,22.68
2017-09-30,18.87,$0.94,20.07
2017-06-30,17.89,$0.91,19.65
2017-03-31,21.01,$0.88,24.01
2016-12-31,19.05,$0.87,22.02
2016-09-30,16.81,$0.86,19.54
2016-06-30,17.73,$0.88,20.26
2016-03-31,19.44,$0.89,21.85
2015-12-31,16.07,$0.89,18.16
2015-09-30,14.31,$0.89,16.08
2015-06-30,16.37,$0.88,18.61
2015-03-31,15.98,$0.86,18.58
2014-12-31,18.22,$0.84,21.83
2014-09-30,17.1,$0.80,21.38
2014-06-30,18.75,$0.78,24.19
2014-03-31,18.58,$0.76,24.45
2013-12-31,17.81,$0.76,23.58
2013-09-30,18.74,$0.76,24.83
2013-06-30,16.98,$0.74,22.95
2013-03-31,18.96,$0.73,26.15
2012-12-31,17.19,$0.71,24.22
2012-09-30,15.58,$0.70,22.42
2012-06-30,14.54,$0.68,21.55
2012-03-31,19.45,$0.65,30.15
2011-12-31,15.62,$0.61,25.61
2011-09-30,11.88,$0.57,20.83
2011-06-30,12.79,$0.53,24.03
2011-03-31,11.48,$0.49,23.42
2010-12-31,10.52,$0.45,23.38
2010-09-30,9.27,$0.42,22.33
2010-06-30,8.67,$0.37,23.6
2010-03-31,8.29,$0.32,25.71
2009-12-31,7.13,$0.31,22.99
