PepsiCo PE Ratio Historical Data,PepsiCo PE Ratio Historical Data,PepsiCo PE Ratio Historical Data,PepsiCo PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,172.88,,25.09
2024-06-30,164.93,$6.89,23.94
2024-03-31,173.63,$6.65,26.11
2023-12-31,167.23,$6.57,25.45
2023-09-30,165.59,$6.00,27.6
2023-06-30,179.73,$5.71,31.48
2023-03-31,175.68,$4.75,36.98
2022-12-31,172.95,$6.41,26.98
2022-09-30,155.33,$6.99,22.22
2022-06-30,157.52,$6.64,23.72
2022-03-31,157.11,$7.31,21.49
2021-12-31,161.99,$5.49,29.51
2021-09-30,139.33,$5.87,23.74
2021-06-30,136.32,$5.92,23.03
2021-03-31,129.2,$5.40,23.93
2020-12-31,134.39,$5.12,26.25
2020-09-30,124.71,$5.05,24.7
2020-06-30,118.14,$4.89,24.16
2020-03-31,106.45,$5.15,20.67
2019-12-31,120.3,$5.19,23.18
2019-09-30,119.84,$8.76,13.68
2019-06-30,113.82,$9.02,12.62
2019-03-31,105.61,$8.86,11.92
2018-12-31,94.45,$8.80,10.73
2018-09-30,94.83,$3.47,27.33
2018-06-30,91.59,$3.21,28.53
2018-03-31,90.99,$3.39,26.84
2017-12-31,99.23,$3.37,29.44
2017-09-30,91.57,$4.84,18.92
2017-06-30,94.25,$4.72,19.97
2017-03-31,90.66,$4.64,19.54
2016-12-31,84.22,$4.36,19.32
2016-09-30,86.9,$4.56,19.06
2016-06-30,84.05,$3.55,23.68
2016-03-31,80.71,$3.50,23.06
2015-12-31,78.13,$3.67,21.29
2015-09-30,73.22,$3.37,21.73
2015-06-30,71.92,$4.33,16.61
2015-03-31,73.14,$4.29,17.05
2014-12-31,71.85,$4.27,16.83
2014-09-30,70.26,$4.52,15.54
2014-06-30,66.96,$4.43,15.11
2014-03-31,62.12,$4.42,14.05
2013-12-31,61.27,$4.32,14.18
2013-09-30,58.33,$4.26,13.69
2013-06-30,59.58,$4.24,14.05
2013-03-31,57.23,$3.90,14.67
2012-12-31,49.16,$3.92,12.54
2012-09-30,50.45,$3.75,13.45
2012-06-30,49.99,$3.79,13.19
2012-03-31,46.58,$4.02,11.59
2011-12-31,46.2,$4.02,11.49
2011-09-30,42.76,$3.98,10.74
2011-06-30,48.26,$3.92,12.31
2011-03-31,43.82,$3.73,11.75
2010-12-31,44.11,$3.91,11.28
2010-09-30,44.53,$3.96,11.24
2010-06-30,40.55,$3.86,10.51
2010-03-31,43.69,$3.94,11.09
2009-12-31,39.87,$3.77,10.57
