AMETEK PE Ratio Historical Data,AMETEK PE Ratio Historical Data,AMETEK PE Ratio Historical Data,AMETEK PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,171.05,,29.8
2024-06-30,166.71,$5.74,29.04
2024-03-31,182.59,$5.69,32.09
2023-12-31,164.36,$5.67,28.99
2023-09-30,147.05,$5.52,26.64
2023-06-30,160.84,$5.34,30.12
2023-03-31,144.15,$5.16,27.94
2022-12-31,138.34,$5.01,27.61
2022-09-30,112.11,$4.89,22.93
2022-06-30,108.44,$4.70,23.07
2022-03-31,131.18,$4.48,29.28
2021-12-31,144.59,$4.25,34.02
2021-09-30,121.77,$3.99,30.52
2021-06-30,130.89,$3.77,34.72
2021-03-31,125.05,$3.49,35.83
2020-12-31,118.2,$3.77,31.35
2020-09-30,97.0,$3.78,25.66
2020-06-30,87.06,$3.86,22.55
2020-03-31,70.01,$4.08,17.16
2019-12-31,96.7,$3.75,25.79
2019-09-30,88.9,$3.70,24.03
2019-06-30,87.81,$3.56,24.67
2019-03-31,80.07,$3.45,23.21
2018-12-31,65.22,$3.34,19.53
2018-09-30,76.08,$3.46,21.99
2018-06-30,69.26,$3.30,20.99
2018-03-31,72.79,$3.12,23.33
2017-12-31,69.31,$2.94,23.57
2017-09-30,63.08,$2.38,26.5
2017-06-30,57.77,$2.28,25.34
2017-03-31,51.51,$2.22,23.2
2016-12-31,46.21,$2.19,21.1
2016-09-30,45.35,$2.29,19.8
2016-06-30,43.79,$2.38,18.4
2016-03-31,47.26,$2.43,19.45
2015-12-31,50.58,$2.45,20.64
2015-09-30,49.3,$2.50,19.72
2015-06-30,51.53,$2.42,21.29
2015-03-31,49.34,$2.39,20.64
2014-12-31,49.34,$2.37,20.82
2014-09-30,46.99,$2.30,20.43
2014-06-30,48.84,$2.25,21.71
2014-03-31,48.02,$2.16,22.23
2013-12-31,49.07,$2.10,23.36
2013-09-30,42.82,$2.04,20.99
2013-06-30,39.31,$1.99,19.75
2013-03-31,40.23,$1.94,20.74
2012-12-31,34.81,$1.88,18.48
2012-09-30,32.8,$1.81,18.09
2012-06-30,30.73,$1.74,17.63
2012-03-31,29.81,$1.66,17.96
2011-12-31,25.84,$1.59,16.29
2011-09-30,20.21,$1.50,13.47
2011-06-30,27.48,$1.58,17.39
2011-03-31,26.81,$1.47,18.2
2010-12-31,23.95,$1.33,17.96
2010-09-30,19.41,$1.21,15.99
2010-06-30,16.29,$0.91,17.88
2010-03-31,16.8,$0.84,19.89
2009-12-31,15.47,$0.97,15.87
