CenterPoint Energy PE Ratio Historical Data,CenterPoint Energy PE Ratio Historical Data,CenterPoint Energy PE Ratio Historical Data,CenterPoint Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,27.3,,16.96
2024-06-30,30.74,$1.61,19.09
2024-03-31,28.08,$1.42,19.78
2023-12-31,27.96,$1.36,20.56
2023-09-30,26.08,$1.25,20.87
2023-06-30,28.13,$1.15,24.46
2023-03-31,28.24,$1.26,22.41
2022-12-31,28.56,$1.59,17.96
2022-09-30,26.68,$2.41,11.07
2022-06-30,27.85,$2.43,11.46
2022-03-31,28.69,$2.52,11.38
2021-12-31,25.97,$2.26,11.49
2021-09-30,22.74,$1.52,14.96
2021-06-30,22.53,$1.33,16.94
2021-03-31,20.68,$1.07,19.32
2020-12-31,19.61,$-1.93,0.0
2020-09-30,17.42,$-1.95,0.0
2020-06-30,16.69,$-1.61,0.0
2020-03-31,13.69,$-1.39,0.0
2019-12-31,23.9,$1.33,17.97
2019-09-30,26.14,$1.26,20.75
2019-06-30,24.8,$1.14,21.75
2019-03-31,26.33,$0.64,41.15
2018-12-31,23.99,$0.74,32.42
2018-09-30,23.27,$3.55,6.55
2018-06-30,23.09,$3.59,6.43
2018-03-31,22.58,$4.07,5.55
2017-12-31,23.13,$4.13,5.6
2017-09-30,23.61,$1.37,17.23
2017-06-30,21.92,$1.39,15.77
2017-03-31,21.86,$1.07,20.43
2016-12-31,19.34,$0.99,19.54
2016-09-30,18.03,$-0.42,0.0
2016-06-30,18.42,$-1.74,0.0
2016-03-31,15.87,$-1.55,0.0
2015-12-31,13.73,$-1.61,0.0
2015-09-30,13.3,$-0.02,0.0
2015-06-30,13.85,$1.22,11.35
2015-03-31,14.67,$1.29,11.37
2014-12-31,16.65,$1.42,11.73
2014-09-30,17.23,$1.27,13.56
2014-06-30,17.8,$1.29,13.8
2014-03-31,16.35,$0.81,20.19
2013-12-31,15.84,$0.72,22.0
2013-09-30,16.24,$0.77,21.09
2013-06-30,15.78,$0.44,35.86
2013-03-31,15.96,$0.96,16.62
2012-12-31,12.69,$0.96,13.22
2012-09-30,13.9,$0.92,15.11
2012-06-30,13.36,$3.17,4.21
2012-03-31,12.62,$3.16,3.99
2011-12-31,12.72,$3.17,4.01
2011-09-30,12.29,$3.19,3.85
2011-06-30,12.0,$1.21,9.91
2011-03-31,10.77,$1.13,9.53
2010-12-31,9.53,$1.07,8.9
2010-09-30,9.41,$1.05,8.96
2010-06-30,7.77,$1.07,7.27
2010-03-31,8.37,$1.11,7.54
2009-12-31,8.34,$1.01,8.26
