Snap-On PE Ratio Historical Data,Snap-On PE Ratio Historical Data,Snap-On PE Ratio Historical Data,Snap-On PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,283.74,,14.75
2024-06-30,259.65,$19.24,13.5
2024-03-31,292.3,$19.06,15.34
2023-12-31,283.07,$18.75,15.1
2023-09-30,248.29,$18.42,13.48
2023-06-30,278.84,$18.05,15.45
2023-03-31,237.41,$17.43,13.62
2022-12-31,218.27,$16.83,12.97
2022-09-30,191.03,$16.51,11.57
2022-06-30,185.8,$15.94,11.66
2022-03-31,192.49,$15.43,12.48
2021-12-31,200.4,$14.93,13.42
2021-09-30,193.15,$14.65,13.18
2021-06-30,205.37,$14.36,14.3
2021-03-31,211.04,$12.45,16.95
2020-12-31,155.54,$11.44,13.6
2020-09-30,132.77,$10.70,12.41
2020-06-30,124.1,$10.38,11.96
2020-03-31,96.72,$11.75,8.23
2019-12-31,149.55,$12.42,12.04
2019-09-30,137.28,$12.43,11.04
2019-06-30,144.34,$12.32,11.72
2019-03-31,135.57,$12.22,11.09
2018-12-31,125.1,$11.88,10.53
2018-09-30,157.18,$11.03,14.25
2018-06-30,136.95,$10.47,13.08
2018-03-31,125.04,$9.95,12.57
2017-12-31,146.93,$9.52,15.43
2017-09-30,124.96,$9.75,12.82
2017-06-30,131.88,$9.68,13.62
2017-03-31,140.18,$9.44,14.85
2016-12-31,141.75,$9.21,15.39
2016-09-30,125.24,$8.96,13.98
2016-06-30,129.55,$8.72,14.86
2016-03-31,128.39,$8.39,15.3
2015-12-31,139.61,$8.10,17.24
2015-09-30,122.48,$7.85,15.6
2015-06-30,128.8,$7.63,16.88
2015-03-31,118.53,$7.40,16.02
2014-12-31,109.82,$7.15,15.36
2014-09-30,96.86,$6.78,14.29
2014-06-30,94.49,$6.45,14.65
2014-03-31,90.12,$6.15,14.65
2013-12-31,86.63,$5.93,14.61
2013-09-30,78.37,$5.76,13.61
2013-06-30,70.12,$5.59,12.54
2013-03-31,64.61,$5.39,11.99
2012-12-31,61.41,$5.20,11.81
2012-09-30,55.59,$5.04,11.03
2012-06-30,47.92,$4.94,9.7
2012-03-31,46.66,$4.97,9.39
2011-12-31,38.52,$4.72,8.16
2011-09-30,33.58,$4.44,7.56
2011-06-30,46.93,$4.08,11.5
2011-03-31,44.88,$3.53,12.71
2010-12-31,42.05,$3.20,13.14
2010-09-30,34.35,$2.84,12.1
2010-06-30,30.0,$2.48,12.1
2010-03-31,31.57,$2.35,13.43
2009-12-31,30.57,$2.32,13.18
