Pool PE Ratio Historical Data,Pool PE Ratio Historical Data,Pool PE Ratio Historical Data,Pool PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,351.62,,29.65
2024-06-30,306.27,$11.86,25.82
2024-03-31,400.85,$12.78,31.37
2023-12-31,395.02,$13.32,29.66
2023-09-30,351.65,$13.82,25.45
2023-06-30,368.9,$15.09,24.45
2023-03-31,336.11,$16.81,19.99
2022-12-31,295.9,$18.64,15.87
2022-09-30,310.41,$19.47,15.94
2022-06-30,341.72,$19.23,17.77
2022-03-31,410.41,$17.97,22.84
2021-12-31,548.38,$15.98,34.32
2021-09-30,420.25,$14.78,28.43
2021-06-30,442.98,$13.16,33.66
2021-03-31,332.83,$10.66,31.22
2020-12-31,358.5,$8.68,41.3
2020-09-30,321.42,$9.18,35.01
2020-06-30,260.74,$9.48,27.5
2019-12-31,202.61,$6.41,31.61
2019-09-30,191.9,$6.38,30.08
2019-06-30,181.21,$5.18,34.98
2019-03-31,156.04,$3.62,43.11
2018-12-31,140.21,$5.62,24.95
2020-03-31,188.21,$5.96,31.58
2018-09-30,156.94,$5.83,26.92
2018-06-30,142.07,$5.33,26.66
2018-03-31,136.71,$3.05,44.82
2017-12-31,120.9,$2.36,51.23
2017-09-30,100.56,$2.77,36.3
2017-03-31,110.21,$3.59,30.7
2016-12-31,96.12,$3.45,27.86
2016-09-30,86.79,$3.45,25.16
2016-06-30,86.07,$3.32,25.92
2016-03-31,80.03,$3.09,25.9
2015-12-31,73.45,$2.90,25.33
2015-09-30,65.53,$2.79,23.49
2015-06-30,63.38,$4.10,15.46
2015-03-31,62.76,$3.13,20.05
2014-12-31,56.89,$4.55,12.5
2017-06-30,108.92,$4.69,23.22
2014-09-30,48.17,$2.37,20.33
2014-06-30,50.34,$2.27,22.17
2014-03-31,54.37,$2.05,26.52
2013-12-31,51.38,$2.03,25.31
2013-09-30,49.38,$1.97,25.07
2013-06-30,45.99,$1.74,26.43
2013-03-31,41.97,$1.69,24.83
2012-12-31,36.88,$1.70,21.69
2012-09-30,36.09,$1.66,21.74
2012-06-30,34.97,$1.71,20.45
2012-03-31,32.2,$1.56,20.64
2011-12-31,25.8,$1.47,17.55
2011-09-30,22.33,$1.44,15.51
2011-06-30,25.28,$1.39,18.19
2011-03-31,20.35,$1.25,16.28
2010-12-31,18.93,$1.14,16.6
2010-09-30,16.75,$1.10,15.23
2010-06-30,18.18,$0.46,39.53
2010-03-31,18.68,$0.40,46.71
2009-12-31,15.65,$0.39,40.13
