Micron Technology PE Ratio Historical Data,Micron Technology PE Ratio Historical Data,Micron Technology PE Ratio Historical Data,Micron Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,96.24,,0.0
2024-05-31,124.89,$-1.42,0.0
2024-02-29,90.44,$-3.45,0.0
2023-11-30,75.88,$-6.28,0.0
2023-08-31,69.6,$-5.34,0.0
2023-05-31,67.74,$-2.68,0.0
2023-02-28,57.32,$1.39,41.24
2022-11-30,57.02,$5.51,10.35
2022-08-31,55.79,$7.73,7.22
2022-05-31,72.73,$8.77,8.29
2022-02-28,87.41,$7.95,10.99
2021-11-30,82.54,$6.48,12.74
2021-08-31,72.31,$5.15,14.04
2021-05-31,82.56,$3.63,22.74
2021-02-28,89.81,$2.82,31.85
2020-11-30,62.89,$2.65,23.73
2020-08-31,44.65,$2.37,18.84
2020-05-31,47.01,$1.99,23.62
2020-02-29,51.57,$2.02,25.53
2019-11-30,46.62,$3.08,15.14
2019-08-31,44.42,$5.46,8.14
2019-05-31,32.0,$8.53,3.75
2019-02-28,40.11,$10.89,3.68
2018-11-30,37.84,$12.14,3.12
2018-08-31,51.53,$11.52,4.47
2018-05-31,56.51,$9.95,5.68
2018-02-28,47.89,$8.25,5.81
2017-11-30,41.59,$6.35,6.55
2017-08-31,31.37,$4.32,7.26
2017-05-31,30.19,$2.17,13.91
2017-02-28,23.0,$0.56,41.07
2016-11-30,19.16,$-0.30,0.0
2016-08-31,16.18,$-0.27,0.0
2016-05-31,12.48,$0.31,40.26
2016-02-29,10.43,$0.94,11.1
2015-11-30,15.63,$1.81,8.64
2015-08-31,16.1,$2.46,6.55
2015-05-31,27.4,$3.00,9.13
2015-02-28,30.09,$3.26,9.23
2014-11-30,35.27,$3.09,11.42
2014-08-31,31.99,$2.55,12.54
2014-05-31,28.05,$3.10,9.05
2014-02-28,23.74,$2.46,9.65
2013-11-30,20.7,$1.57,13.19
2013-08-31,13.31,$1.00,13.31
2013-05-31,11.46,$-0.75,0.0
2013-02-28,8.22,$-1.11,0.0
2012-11-30,5.85,$-1.06,0.0
2012-08-31,6.09,$-0.98,0.0
2012-05-31,5.73,$-0.88,0.0
2012-02-29,8.39,$-0.49,0.0
2011-11-30,5.88,$-0.19,0.0
2011-08-31,5.8,$0.15,38.66
2011-05-31,10.01,$0.61,16.41
2011-02-28,10.92,$1.46,7.48
2010-11-30,7.13,$1.78,4.01
2010-08-31,6.34,$1.86,3.41
2010-05-31,8.92,$1.44,6.19
2010-02-28,8.89,$0.16,55.56
2009-11-30,7.38,$-1.20,0.0
