Kimco Realty PE Ratio Historical Data,Kimco Realty PE Ratio Historical Data,Kimco Realty PE Ratio Historical Data,Kimco Realty PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,23.26,,43.07
2024-06-30,19.46,$0.54,36.04
2024-03-31,19.61,$0.53,37.0
2023-12-31,21.31,$1.02,20.89
2023-09-30,17.59,$0.71,24.77
2023-06-30,19.72,$0.61,32.33
2023-03-31,19.53,$0.24,81.38
2022-12-31,21.18,$0.15,141.2
2022-09-30,18.22,$0.37,49.24
2022-06-30,19.37,$1.20,16.14
2022-03-31,23.98,$1.66,14.45
2021-12-31,23.74,$1.59,14.93
2021-09-30,19.84,$1.91,10.39
2021-06-30,19.78,$0.90,21.98
2021-03-31,17.66,$2.36,7.48
2020-12-31,14.01,$2.25,6.23
2020-09-30,10.4,$2.02,5.15
2020-06-30,11.76,$2.26,5.2
2020-03-31,8.57,$0.75,11.42
2019-12-31,18.35,$0.80,22.93
2019-09-30,18.01,$0.75,24.01
2019-06-30,15.69,$0.80,19.61
2019-03-31,15.47,$0.96,16.11
2018-12-31,12.25,$1.02,12.01
2018-09-30,13.76,$1.02,13.49
2018-06-30,13.73,$1.07,12.83
2018-03-31,11.41,$1.02,11.19
2017-12-31,14.38,$0.87,16.53
2017-09-30,15.04,$0.86,17.49
2017-06-30,13.92,$0.49,28.41
2017-03-31,16.56,$0.64,25.87
2016-12-31,18.86,$0.80,23.57
2016-09-30,21.27,$1.51,14.09
2016-06-30,22.87,$1.79,12.78
2016-03-31,20.79,$1.60,12.99
2015-12-31,19.11,$2.00,9.56
2015-09-30,17.31,$1.22,14.19
2015-06-30,15.81,$1.51,10.47
2015-03-31,18.66,$1.42,13.14
2014-12-31,17.47,$0.89,19.63
2014-09-30,14.93,$0.92,16.23
2014-06-30,15.51,$0.58,26.74
2014-03-31,14.61,$0.49,29.82
2013-12-31,13.19,$0.44,29.98
2013-09-30,13.19,$0.46,28.67
2013-06-30,13.87,$0.43,32.25
2013-03-31,14.36,$0.46,31.22
2012-12-31,12.39,$0.42,29.49
2012-09-30,12.73,$0.36,35.37
2012-06-30,11.83,$0.39,30.35
2012-03-31,11.86,$0.33,35.94
2011-12-31,10.0,$0.27,37.04
2011-09-30,9.03,$0.24,37.64
2011-06-30,11.1,$0.18,61.65
2011-03-31,10.81,$0.16,67.56
2010-12-31,10.63,$0.23,46.23
2010-09-30,9.09,$0.29,31.36
2010-06-30,7.76,$0.32,24.26
2010-03-31,8.93,$-0.12,0.0
2009-12-31,7.65,$-0.12,0.0
