Jack Henry & Associates PE Ratio Historical Data,Jack Henry & Associates PE Ratio Historical Data,Jack Henry & Associates PE Ratio Historical Data,Jack Henry & Associates PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,173.03,,45.06
2024-06-30,166.02,$3.84,43.23
2024-03-31,173.17,$5.18,33.43
2023-12-31,162.36,$5.11,31.77
2023-09-30,149.68,$4.95,30.24
2023-06-30,165.15,$5.02,32.9
2023-03-31,148.23,$4.78,31.01
2022-12-31,172.12,$4.82,35.71
2022-09-30,178.24,$5.02,35.51
2022-06-30,175.6,$4.94,35.55
2022-03-31,191.71,$4.88,39.28
2021-12-31,162.03,$4.67,34.7
2021-09-30,158.71,$4.31,36.82
2021-06-30,157.76,$4.12,38.29
2021-03-31,145.95,$3.88,37.62
2020-12-31,155.36,$3.89,39.94
2020-09-30,155.52,$3.89,39.98
2020-06-30,175.55,$3.86,45.48
2020-03-31,147.73,$3.85,38.37
2019-12-31,138.23,$3.66,37.77
2019-09-30,138.15,$3.82,36.17
2019-06-30,126.4,$3.59,35.21
2019-03-31,130.57,$4.81,27.15
2018-06-30,121.71,$4.86,25.04
2018-03-31,112.58,$4.59,24.53
2017-12-31,108.52,$4.43,24.5
2017-09-30,95.11,$3.17,30.0
2017-06-30,95.82,$3.14,30.52
2017-03-31,85.63,$3.37,25.41
2016-12-31,81.38,$3.28,24.81
2016-09-30,78.18,$3.27,23.91
2016-06-30,79.5,$3.12,25.48
2016-03-31,76.78,$2.81,27.32
2015-12-31,70.63,$2.76,25.59
2015-09-30,62.78,$2.74,22.91
2015-06-30,58.14,$2.98,19.51
2015-03-31,62.56,$2.87,21.8
2014-12-31,55.41,$2.84,19.51
2018-12-31,118.71,$2.67,44.46
2014-09-30,49.45,$2.42,20.44
2014-06-30,52.6,$2.36,22.29
2014-03-31,49.16,$2.31,21.28
2013-12-31,52.01,$2.29,22.71
2013-09-30,45.22,$2.13,21.23
2013-06-30,41.09,$2.04,20.14
2013-03-31,40.12,$1.99,20.16
2012-12-31,33.99,$1.88,18.08
2012-09-30,32.67,$1.85,17.66
2012-06-30,29.7,$1.78,16.69
2012-03-31,29.26,$1.70,17.21
2011-12-31,28.72,$1.66,17.3
2011-09-30,24.69,$2.30,10.73
2011-06-30,25.47,$2.30,11.07
2011-03-31,28.67,$2.25,12.74
2018-09-30,149.8,$2.22,67.48
2010-12-31,24.58,$1.51,16.28
2010-09-30,21.43,$1.44,14.88
2010-06-30,19.99,$1.38,14.48
2010-03-31,20.06,$1.36,14.75
2009-12-31,19.21,$1.29,14.89
