Packaging Of America PE Ratio Historical Data,Packaging Of America PE Ratio Historical Data,Packaging Of America PE Ratio Historical Data,Packaging Of America PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,209.54,,26.29
2024-06-30,182.56,$7.97,22.91
2024-03-31,188.49,$8.00,23.56
2023-12-31,160.71,$8.48,18.95
2023-09-30,150.33,$8.69,17.3
2023-06-30,128.31,$9.46,13.56
2023-03-31,133.52,$10.42,12.81
2022-12-31,121.86,$11.01,11.07
2022-09-30,105.96,$10.98,9.65
2022-06-30,128.32,$10.81,11.87
2022-03-31,144.46,$9.78,14.77
2021-12-31,125.16,$8.83,14.17
2021-09-30,125.39,$7.85,15.97
2021-06-30,122.72,$6.68,18.37
2021-03-31,120.99,$5.10,23.72
2020-12-31,123.18,$4.84,25.45
2020-09-30,96.69,$4.97,19.45
2020-06-30,87.83,$5.40,16.26
2020-03-31,75.81,$6.85,11.07
2019-12-31,96.79,$7.33,13.2
2019-09-30,91.05,$8.06,11.3
2019-06-30,81.2,$8.35,9.72
2019-03-31,83.97,$8.28,10.14
2018-12-31,69.96,$7.79,8.98
2018-09-30,91.18,$8.47,10.76
2018-06-30,92.28,$7.76,11.89
2018-03-31,92.43,$7.31,12.64
2017-12-31,98.35,$7.07,13.91
2017-09-30,93.07,$5.40,17.23
2017-06-30,89.91,$5.19,17.32
2017-03-31,73.51,$4.90,15.0
2016-12-31,67.59,$4.75,14.23
2016-09-30,64.29,$4.65,13.83
2016-06-30,52.53,$4.70,11.18
2016-03-31,47.02,$4.63,10.15
2015-12-31,48.6,$4.46,10.9
2015-09-30,45.97,$4.39,10.47
2015-06-30,47.36,$4.14,11.44
2015-03-31,58.78,$3.99,14.73
2014-12-31,58.26,$3.99,14.6
2014-09-30,47.4,$5.32,8.91
2014-06-30,52.79,$5.12,10.31
2014-03-31,51.67,$4.77,10.83
2013-12-31,46.21,$4.47,10.34
2013-09-30,41.42,$2.77,14.95
2013-06-30,35.26,$2.32,15.2
2013-03-31,32.05,$2.12,15.12
2012-12-31,27.28,$1.68,16.24
2012-09-30,25.57,$1.45,17.63
2012-06-30,19.74,$1.46,13.52
2012-03-31,20.49,$1.39,14.74
2011-12-31,17.34,$1.58,10.97
2011-09-30,15.87,$1.72,9.23
2011-06-30,18.92,$2.21,8.56
2011-03-31,19.39,$2.19,8.86
2010-12-31,17.22,$2.01,8.57
2010-09-30,15.36,$2.04,7.53
2010-06-30,14.5,$1.84,7.88
2010-03-31,16.1,$2.54,6.34
2009-12-31,14.96,$2.60,5.75
