KKR PE Ratio Historical Data,KKR PE Ratio Historical Data,KKR PE Ratio Historical Data,KKR PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,123.77,,29.19
2024-06-30,105.24,$4.24,24.82
2024-03-31,100.58,$4.46,22.55
2023-12-31,82.85,$4.08,20.31
2023-09-30,61.6,$3.03,20.33
2023-06-30,56.0,$1.28,43.75
2023-03-31,52.52,$-0.88,0.0
2022-12-31,46.42,$-1.36,0.0
2022-09-30,43.0,$-0.63,0.0
2022-06-30,46.16,$1.28,36.07
2022-03-31,58.14,$4.53,12.83
2021-12-31,73.89,$7.33,10.08
2021-09-30,60.27,$8.97,6.72
2021-06-30,58.52,$8.96,6.53
2021-03-31,48.13,$8.17,5.89
2020-12-31,39.78,$3.18,12.51
2020-09-30,33.62,$1.63,20.62
2020-06-30,30.12,$0.27,111.55
2020-03-31,22.77,$-0.04,0.0
2019-12-31,28.19,$3.54,7.96
2019-09-30,25.84,$1.89,13.67
2019-06-30,24.2,$2.63,9.2
2019-03-31,22.38,$2.94,7.61
2018-12-31,18.6,$1.99,9.35
2018-09-30,25.7,$3.05,8.43
2018-06-30,23.28,$2.18,10.68
2018-03-31,18.87,$1.75,10.78
2017-12-31,19.43,$1.95,9.96
2017-09-30,18.59,$1.98,9.39
2017-06-30,16.86,$2.41,7.0
2017-03-31,16.38,$1.79,9.15
2016-12-31,13.7,$0.54,25.38
2016-09-30,12.55,$0.26,48.29
2016-06-30,10.74,$-0.89,0.0
2016-03-31,12.64,$-0.30,0.0
2015-12-31,13.25,$1.00,13.25
2015-09-30,13.99,$0.93,15.05
2015-06-30,18.73,$1.55,12.08
2015-03-31,18.32,$1.20,15.27
2014-12-31,18.38,$1.28,14.36
2014-09-30,17.29,$2.17,7.97
2014-06-30,18.33,$2.63,6.97
2014-03-31,16.88,$2.25,7.5
2013-12-31,17.64,$2.29,7.7
2013-09-30,14.76,$1.76,8.39
2013-06-30,13.82,$1.59,8.69
2013-03-31,13.4,$2.12,6.32
2012-12-31,10.17,$2.23,4.56
2012-09-30,9.93,$2.07,4.8
2012-06-30,8.39,$0.49,17.13
2012-03-31,9.55,$0.09,106.13
2011-12-31,8.09,$0.04,202.24
2011-09-30,6.51,$0.70,9.29
2011-06-30,10.11,$1.83,5.52
