Mondelez PE Ratio Historical Data,Mondelez PE Ratio Historical Data,Mondelez PE Ratio Historical Data,Mondelez PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,71.81,,24.68
2024-06-30,65.44,$2.91,22.49
2024-03-31,69.55,$3.15,22.08
2023-12-31,71.53,$3.63,19.7
2023-09-30,68.14,$3.35,20.34
2023-06-30,71.18,$3.02,23.57
2023-03-31,67.67,$2.87,23.58
2022-12-31,64.34,$1.96,32.83
2022-09-30,52.62,$2.25,23.39
2022-06-30,59.19,$2.75,21.52
2022-03-31,59.51,$2.97,20.04
2021-12-31,62.51,$3.04,20.56
2021-09-30,54.56,$3.13,17.43
2021-06-30,58.21,$3.02,19.27
2021-03-31,54.29,$2.64,20.56
2020-12-31,53.94,$2.48,21.75
2020-09-30,52.71,$2.18,24.18
2020-06-30,46.66,$2.38,19.6
2020-03-31,45.44,$2.55,17.82
2019-12-31,49.7,$2.66,18.68
2019-09-30,49.66,$2.72,18.26
2019-06-30,48.14,$2.55,18.88
2019-03-31,44.37,$2.22,19.99
2018-12-31,35.39,$2.21,16.01
2018-09-30,37.74,$2.18,17.31
2018-06-30,35.8,$2.02,17.72
2018-03-31,36.24,$2.12,17.1
2017-12-31,36.97,$1.91,19.36
2017-09-30,34.94,$1.44,24.27
2017-06-30,36.92,$1.14,32.38
2017-03-31,36.67,$1.11,33.03
2016-12-31,37.57,$1.05,35.78
2016-09-30,37.04,$0.53,69.9
2016-06-30,38.24,$4.64,8.24
2016-03-31,33.57,$4.60,7.3
2015-12-31,37.36,$4.44,8.41
2015-09-30,34.73,$5.19,6.69
2015-06-30,34.01,$1.26,26.99
2015-03-31,29.73,$1.37,21.7
2014-12-31,29.8,$1.27,23.46
2014-09-30,27.99,$1.98,14.14
2014-06-30,30.59,$2.02,15.15
2014-03-31,28.0,$2.00,14.0
2013-12-31,28.49,$2.23,12.78
2013-09-30,25.26,$1.53,16.51
2013-06-30,22.84,$1.32,17.3
2013-03-31,24.4,$1.56,15.64
2012-12-31,20.2,$1.70,11.88
2012-09-30,21.41,$1.87,11.45
2012-06-30,19.85,$2.03,9.78
2012-03-31,19.39,$2.00,9.69
2011-12-31,18.91,$1.99,9.5
2011-09-30,16.87,$1.83,9.22
2011-06-30,17.55,$1.74,10.08
2011-03-31,15.49,$1.72,9.0
2010-12-31,15.42,$2.43,6.35
2010-09-30,14.96,$2.60,5.76
2010-06-30,13.45,$2.72,4.95
2010-03-31,14.38,$2.75,5.23
2009-12-31,12.81,$2.04,6.28
