Ingersoll Rand PE Ratio Historical Data,Ingersoll Rand PE Ratio Historical Data,Ingersoll Rand PE Ratio Historical Data,Ingersoll Rand PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,91.45,,45.27
2024-06-30,90.82,$2.02,44.96
2024-03-31,94.91,$2.01,47.22
2023-12-31,77.29,$1.90,40.68
2023-09-30,63.66,$1.87,34.04
2023-06-30,65.28,$1.72,37.95
2023-03-31,58.09,$1.62,35.86
2022-12-31,52.15,$1.48,35.24
2022-09-30,43.16,$1.66,26.0
2022-06-30,41.97,$1.60,26.23
2022-03-31,50.19,$1.81,27.73
2021-12-31,61.65,$1.35,45.67
2021-09-30,50.21,$1.00,50.21
2021-06-30,48.62,$0.77,63.14
2021-03-31,49.02,$-0.21,0.0
2020-12-31,45.38,$-0.13,0.0
2020-09-30,35.46,$-0.37,0.0
2020-06-30,28.01,$-0.24,0.0
2020-03-31,24.7,$0.40,61.76
2019-12-31,36.54,$0.76,48.08
2019-09-30,28.18,$1.09,25.85
2019-06-30,34.47,$1.24,27.8
2019-03-31,27.7,$1.32,20.99
2018-12-31,20.37,$1.29,15.79
2018-09-30,28.23,$1.53,18.45
2018-06-30,29.28,$1.31,22.35
2018-03-31,30.56,$0.19,160.85
