LyondellBasell Industries PE Ratio Historical Data,LyondellBasell Industries PE Ratio Historical Data,LyondellBasell Industries PE Ratio Historical Data,LyondellBasell Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,98.7,,13.88
2024-06-30,94.37,$7.11,13.27
2024-03-31,100.9,$6.47,15.59
2023-12-31,92.63,$6.47,14.32
2023-09-30,91.05,$6.98,13.04
2023-06-30,87.16,$6.44,13.53
2023-03-31,87.86,$9.24,9.51
2022-12-31,76.76,$11.80,6.51
2022-09-30,68.65,$12.91,5.32
2022-06-30,78.68,$16.41,4.79
2022-03-31,87.31,$17.56,4.97
2021-12-31,77.41,$16.74,4.62
2021-09-30,77.79,$17.11,4.55
2021-06-30,84.34,$12.19,6.92
2021-03-31,84.49,$7.00,12.07
2020-12-31,73.71,$4.24,17.38
2020-09-30,56.02,$3.52,15.91
2020-06-30,51.43,$6.04,8.52
2020-03-31,38.3,$7.80,4.91
2019-12-31,71.86,$9.57,7.51
2019-09-30,67.29,$9.53,7.06
2019-06-30,63.88,$9.53,6.7
2019-03-31,61.54,$11.05,5.57
2018-12-31,51.2,$11.97,4.28
2018-09-30,62.38,$14.97,4.17
2018-06-30,66.25,$14.79,4.48
2018-03-31,63.2,$13.38,4.72
2017-12-31,65.36,$12.25,5.34
2017-09-30,58.18,$9.33,6.24
2017-06-30,49.08,$8.96,5.48
2017-03-31,52.45,$8.71,6.02
2016-12-31,48.89,$9.10,5.37
2016-09-30,45.52,$9.01,5.05
2016-06-30,41.53,$9.27,4.48
2016-03-31,47.26,$9.53,4.96
2015-12-31,47.52,$9.57,4.97
2015-09-30,45.2,$9.33,4.84
2015-06-30,55.59,$9.22,6.03
2015-03-31,46.79,$8.63,5.42
2014-12-31,41.97,$7.94,5.29
2014-09-30,57.0,$8.51,6.7
2014-06-30,50.91,$7.56,6.73
2014-03-31,46.02,$6.94,6.63
2013-12-31,41.25,$6.77,6.09
2013-09-30,37.34,$5.75,6.49
2013-06-30,33.56,$5.71,5.88
2013-03-31,31.82,$5.43,5.86
2012-12-31,28.5,$4.92,5.79
2012-09-30,24.12,$3.45,6.99
2012-06-30,18.65,$3.50,5.33
2012-03-31,20.0,$3.55,5.63
2011-12-31,14.8,$3.66,4.04
2011-09-30,9.6,$5.58,1.72
2011-06-30,15.04,$4.91,3.06
2011-03-31,15.41,$3.53,4.37
