Endava Price to Free Cash Flow Ratio Historical Data,Endava Price to Free Cash Flow Ratio Historical Data,Endava Price to Free Cash Flow Ratio Historical Data,Endava Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,26.46,,12.2
2023-12-31,77.85,$2.17,35.9
2023-09-30,57.35,$2.20,26.04
2023-06-30,51.79,$2.30,22.49
2023-03-31,67.18,$2.64,25.42
2022-12-31,76.5,$2.53,30.18
2022-09-30,80.63,$2.50,32.19
2022-06-30,88.27,$2.46,35.95
2022-03-31,133.03,$2.22,60.03
2021-12-31,167.92,$2.13,78.66
2021-09-30,135.85,$1.86,73.0
2021-06-30,113.38,$1.94,58.3
2021-03-31,84.69,$1.20,70.76
2020-12-31,76.75,$1.13,68.19
2020-09-30,63.15,$0.88,72.06
2020-06-30,48.3,$0.69,70.29
2020-03-31,35.16,$0.90,39.25
2019-12-31,46.6,$0.96,48.71
2019-09-30,37.85,$0.94,40.15
2019-06-30,40.24,$0.66,61.06
