Herc Holdings Price to Free Cash Flow Ratio Historical Data,Herc Holdings Price to Free Cash Flow Ratio Historical Data,Herc Holdings Price to Free Cash Flow Ratio Historical Data,Herc Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,173.08,,21.93
2024-06-30,132.69,$7.89,16.81
2024-03-31,167.54,$4.15,40.37
2023-12-31,147.55,$-1.74,0.0
2023-09-30,117.27,$-6.28,0.0
2023-06-30,134.27,$-6.18,0.0
2023-03-31,111.07,$-6.03,0.0
2022-12-31,127.74,$-7.52,0.0
2022-09-30,100.41,$-4.30,0.0
2022-06-30,86.74,$-3.38,0.0
2022-03-31,159.97,$0.49,323.77
2021-12-31,149.33,$7.04,21.21
2021-09-30,155.49,$10.16,15.31
2021-06-30,106.6,$13.48,7.91
2021-03-31,96.39,$15.48,6.23
2020-12-31,63.17,$14.44,4.38
2020-09-30,37.68,$11.84,3.18
2020-06-30,29.23,$7.30,4.01
2020-03-31,19.46,$7.55,2.58
2019-12-31,46.55,$9.65,4.82
2019-09-30,44.24,$1.00,44.37
2019-06-30,43.6,$1.18,37.02
2018-12-31,24.72,$-0.27,0.0
2018-09-30,48.7,$-9.63,0.0
2018-06-30,53.59,$-1.01,0.0
2018-03-31,61.78,$-1.38,0.0
2017-12-31,59.56,$-5.52,0.0
2019-03-31,37.08,$2.53,14.67
2017-09-30,46.73,$-4.09,0.0
2017-06-30,37.4,$2.41,15.52
