CareDx Price to Free Cash Flow Ratio Historical Data,CareDx Price to Free Cash Flow Ratio Historical Data,CareDx Price to Free Cash Flow Ratio Historical Data,CareDx Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,24.48,,0.0
2024-06-30,15.53,$-0.40,0.0
2024-03-31,10.59,$-0.78,0.0
2023-12-31,12.0,$-0.50,0.0
2023-09-30,7.0,$-0.24,0.0
2023-06-30,8.5,$-0.24,0.0
2023-03-31,9.14,$-0.35,0.0
2022-12-31,11.41,$-0.87,0.0
2022-09-30,17.02,$-0.98,0.0
2022-06-30,21.48,$-0.82,0.0
2022-03-31,36.99,$-0.51,0.0
2021-12-31,45.48,$-0.63,0.0
2021-09-30,63.37,$-0.42,0.0
2021-06-30,91.52,$-0.36,0.0
2021-03-31,68.09,$-0.00,0.0
2020-12-31,72.45,$0.57,127.94
2020-09-30,37.94,$0.34,110.19
2020-06-30,35.43,$0.34,103.08
2020-03-31,21.83,$-0.08,0.0
2019-12-31,21.57,$-0.12,0.0
2019-09-30,22.61,$-0.04,0.0
2019-06-30,35.99,$-0.04,0.0
2019-03-31,31.52,$-0.17,0.0
2018-12-31,25.14,$-0.17,0.0
2018-09-30,28.85,$-0.27,0.0
2018-06-30,12.24,$-0.35,0.0
2018-03-31,7.97,$-0.46,0.0
2017-12-31,7.34,$-0.62,0.0
2017-09-30,3.7,$-0.86,0.0
2017-06-30,1.11,$-0.58,0.0
2017-03-31,1.4,$-0.83,0.0
2016-12-31,2.7,$-1.03,0.0
2016-09-30,3.55,$-1.07,0.0
2016-06-30,4.31,$-1.55,0.0
2016-03-31,4.96,$-1.33,0.0
2015-12-31,6.4,$-0.92,0.0
2015-09-30,4.17,$-0.76,0.0
2015-06-30,6.5,$-0.73,0.0
