Tandem Diabetes Care Price to Free Cash Flow Ratio Historical Data,Tandem Diabetes Care Price to Free Cash Flow Ratio Historical Data,Tandem Diabetes Care Price to Free Cash Flow Ratio Historical Data,Tandem Diabetes Care Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,34.81,,0.0
2024-06-30,40.29,$-0.64,0.0
2024-03-31,35.41,$-0.67,0.0
2023-12-31,29.58,$-0.90,0.0
2023-09-30,20.77,$-0.71,0.0
2023-06-30,24.54,$-0.47,0.0
2023-03-31,40.61,$-0.34,0.0
2022-12-31,44.95,$0.26,176.14
2022-09-30,47.85,$0.48,100.46
2022-06-30,59.19,$0.81,73.32
2022-03-31,116.29,$1.28,90.71
2021-12-31,150.52,$1.51,99.67
2021-09-30,119.38,$1.47,81.41
2021-06-30,97.4,$1.11,87.78
2021-03-31,88.25,$0.82,108.07
2020-12-31,95.68,$-0.04,0.0
2020-09-30,113.5,$-0.01,0.0
2020-06-30,98.92,$0.17,570.8
2020-03-31,64.35,$0.02,3300.0
2019-12-31,59.61,$0.38,155.92
2019-09-30,58.98,$0.37,159.45
2019-06-30,64.52,$0.01,0.0
2019-03-31,63.5,$0.38,167.15
2018-12-31,37.97,$-0.23,0.0
2018-09-30,42.84,$-1.77,0.0
2018-06-30,22.02,$-5.15,0.0
2018-03-31,4.96,$-6.01,0.0
2017-12-31,2.36,$-12.66,0.0
2017-09-30,7.3,$-16.70,0.0
2017-06-30,8.0,$-19.85,0.0
2017-03-31,12.0,$-24.38,0.0
2016-12-31,21.5,$-22.93,0.0
2016-09-30,76.6,$-22.36,0.0
2016-06-30,75.4,$-21.08,0.0
2016-03-31,87.1,$-21.94,0.0
2015-12-31,118.1,$-22.31,0.0
2015-09-30,88.1,$-23.84,0.0
2015-06-30,108.4,$-24.49,0.0
2015-03-31,126.2,$-26.44,0.0
2014-12-31,127.0,$-28.27,0.0
2014-09-30,134.2,$-197.90,0.0
