Melco Resorts & Entertainment Price to Free Cash Flow Ratio Historical Data,Melco Resorts & Entertainment Price to Free Cash Flow Ratio Historical Data,Melco Resorts & Entertainment Price to Free Cash Flow Ratio Historical Data,Melco Resorts & Entertainment Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,7.04,,6.18
2024-06-30,7.46,$1.14,6.55
2024-03-31,7.21,$1.14,6.33
2023-12-31,8.87,$1.14,7.79
2023-09-30,9.89,$-1.61,0.0
2023-06-30,12.21,$-1.61,0.0
2023-03-31,12.73,$-1.61,0.0
2022-12-31,11.5,$-1.61,0.0
2022-09-30,6.63,$-0.84,0.0
2022-06-30,5.75,$-0.84,0.0
2022-03-31,7.64,$-0.84,0.0
2021-12-31,10.18,$-0.84,0.0
2021-09-30,10.24,$-2.24,0.0
2021-06-30,16.57,$-2.24,0.0
2021-03-31,19.91,$-2.24,0.0
2020-12-31,18.55,$-2.24,0.0
2020-09-30,16.65,$1.04,16.03
2020-06-30,15.52,$1.04,14.94
2020-03-31,12.4,$1.04,11.94
2019-12-31,23.94,$1.04,23.05
2019-09-30,18.94,$1.32,14.35
2019-06-30,21.03,$1.32,15.94
2019-03-31,21.71,$1.32,16.45
2018-12-31,16.82,$1.32,12.75
2018-09-30,20.02,$2.04,9.81
2018-06-30,26.34,$2.04,12.91
2018-03-31,27.15,$2.04,13.3
2017-12-31,27.08,$2.04,13.27
2017-09-30,22.41,$2.08,10.79
2017-06-30,20.76,$2.08,10.0
2017-03-31,17.08,$2.08,8.23
2016-12-31,13.49,$2.08,6.5
2016-09-30,13.64,$0.51,26.82
2016-06-30,10.64,$0.51,20.91
2016-03-31,13.94,$0.51,27.41
2015-12-31,13.63,$0.51,26.81
2015-09-30,11.15,$1.20,9.33
2015-06-30,15.9,$1.20,13.3
2015-03-31,17.36,$1.20,14.51
2014-12-31,20.5,$1.20,17.14
2014-09-30,21.16,$1.95,10.83
2014-06-30,28.66,$1.95,14.67
2014-03-31,30.63,$1.95,15.68
2013-12-31,31.08,$1.95,15.91
2013-09-30,25.23,$1.32,19.12
2013-06-30,17.72,$1.32,13.43
2013-03-31,18.51,$1.32,14.03
2012-12-31,13.35,$1.32,10.12
2012-09-30,10.68,$0.12,88.15
2012-06-30,9.13,$1.22,7.5
2012-03-31,10.81,$0.96,11.27
2011-12-31,7.62,$1.22,6.26
2011-09-30,6.59,$1.48,4.46
2011-06-30,10.12,$0.38,26.64
2011-03-31,6.02,$0.64,9.44
2010-12-31,5.04,$0.38,13.27
2010-09-30,4.02,$-1.97,0.0
2010-06-30,2.96,$-1.97,0.0
2010-03-31,3.8,$-1.97,0.0
2009-12-31,2.66,$-1.97,0.0
