Shutterstock Price to Free Cash Flow Ratio Historical Data,Shutterstock Price to Free Cash Flow Ratio Historical Data,Shutterstock Price to Free Cash Flow Ratio Historical Data,Shutterstock Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,31.24,,0.0
2024-06-30,38.37,$-1.13,0.0
2023-12-31,47.57,$2.65,17.98
2023-09-30,37.26,$5.22,7.14
2023-06-30,47.36,$5.08,9.32
2023-03-31,70.27,$5.22,13.47
2022-12-31,50.84,$4.49,11.32
2024-03-31,45.42,$1.56,29.16
2022-09-30,48.17,$3.00,16.03
2022-06-30,54.79,$2.78,19.7
2022-03-31,88.62,$3.76,23.58
2021-12-31,105.29,$4.20,25.09
2021-09-30,107.4,$4.51,23.8
2021-06-30,92.87,$5.63,16.49
2021-03-31,84.04,$4.54,18.51
2020-12-31,67.51,$3.78,17.84
2020-09-30,48.88,$2.73,17.94
2020-06-30,32.74,$1.85,17.74
2020-03-31,29.97,$1.78,16.87
2019-12-31,39.78,$2.15,18.49
2019-09-30,33.51,$2.42,13.84
2019-06-30,36.36,$2.40,15.14
2019-03-31,43.26,$2.08,20.82
2018-12-31,33.41,$1.90,17.58
2018-09-30,50.64,$1.63,31.0
2018-06-30,41.6,$1.51,27.46
2018-03-31,42.2,$1.57,26.88
2017-12-31,37.71,$1.50,25.12
2017-09-30,29.18,$1.28,22.83
2017-06-30,38.63,$1.44,26.87
2017-03-31,36.24,$1.42,25.52
2016-12-31,41.65,$1.69,24.58
2016-09-30,55.83,$2.02,27.6
2016-06-30,40.14,$1.75,22.99
2016-03-31,32.19,$1.86,17.34
2015-12-31,28.34,$2.01,14.1
2015-09-30,26.5,$1.97,13.43
2015-06-30,51.4,$2.13,24.13
2015-03-31,60.19,$2.21,27.26
2014-12-31,60.56,$1.81,33.51
2014-09-30,62.56,$1.62,38.55
2014-06-30,72.73,$1.41,51.7
2014-03-31,63.64,$0.99,64.46
2013-12-31,73.3,$1.23,59.65
2013-09-30,63.74,$2.56,24.92
