CNA Financial Price to Free Cash Flow Ratio Historical Data,CNA Financial Price to Free Cash Flow Ratio Historical Data,CNA Financial Price to Free Cash Flow Ratio Historical Data,CNA Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,50.73,,5.8
2024-06-30,45.65,$8.74,5.22
2024-03-31,44.57,$8.31,5.36
2023-12-31,39.36,$8.06,4.88
2023-09-30,36.22,$8.07,4.49
2023-06-30,35.19,$7.77,4.53
2023-03-31,35.19,$8.20,4.29
2022-12-31,36.75,$8.99,4.09
2022-09-30,31.76,$9.48,3.35
2022-06-30,38.28,$9.24,4.14
2022-03-31,41.08,$9.26,4.44
2021-12-31,35.4,$7.23,4.9
2021-09-30,33.42,$6.23,5.37
2021-06-30,35.92,$6.57,5.47
2021-03-31,34.96,$5.95,5.87
2020-12-31,29.75,$6.43,4.63
2020-09-30,22.66,$5.68,3.99
2020-06-30,24.03,$4.61,5.22
2020-03-31,22.87,$3.83,5.97
2019-12-31,31.44,$4.09,7.69
2019-09-30,34.29,$4.80,7.15
2019-06-30,32.53,$4.95,6.57
2019-03-31,29.73,$4.50,6.61
2018-12-31,28.72,$4.14,6.94
2018-09-30,29.48,$4.11,7.18
2018-06-30,29.27,$3.61,8.11
2018-03-31,31.43,$3.97,7.92
2017-12-31,32.33,$4.23,7.64
2017-09-30,30.46,$3.89,7.82
2017-06-30,29.38,$4.31,6.82
2017-03-31,26.47,$4.50,5.88
2016-12-31,23.61,$5.08,4.65
2016-09-30,19.45,$5.29,3.68
2016-06-30,17.62,$5.30,3.33
2016-03-31,17.91,$5.89,3.04
2015-12-31,18.13,$4.66,3.89
2015-09-30,17.89,$4.89,3.66
2015-06-30,19.44,$4.77,4.07
2015-03-31,20.95,$4.75,4.41
2014-12-31,18.56,$5.06,3.67
2014-09-30,18.12,$4.67,3.88
2014-06-30,19.13,$4.24,4.51
2014-03-31,20.1,$4.07,4.93
2013-12-31,19.58,$4.12,4.75
2013-09-30,17.35,$3.99,4.35
2013-06-30,14.74,$4.10,3.59
2013-03-31,14.68,$3.84,3.82
2012-12-31,12.5,$4.28,2.92
2012-09-30,11.9,$6.69,1.78
2012-06-30,12.24,$6.70,1.83
2012-03-31,12.88,$6.70,1.92
2011-12-31,11.69,$6.00,1.95
2011-09-30,9.78,$4.88,2.0
2011-06-30,12.59,$-1.16,0.0
2011-03-31,12.77,$-4.59,0.0
2010-12-31,11.65,$-1.38,0.0
2010-09-30,12.05,$-3.59,0.0
2010-06-30,11.01,$1.44,7.64
2009-12-31,10.33,$4.44,2.33
2009-09-30,10.39,$2.16,4.82
