Hawkins Price to Free Cash Flow Ratio Historical Data,Hawkins Price to Free Cash Flow Ratio Historical Data,Hawkins Price to Free Cash Flow Ratio Historical Data,Hawkins Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,133.98,,28.04
2024-06-30,90.86,$4.78,19.01
2024-03-31,76.54,$5.73,13.35
2023-12-31,70.02,$5.41,12.94
2023-09-30,58.37,$5.41,10.79
2023-06-30,47.17,$4.01,11.77
2023-03-31,43.16,$1.72,25.08
2022-12-31,37.92,$0.18,207.65
2022-09-30,38.17,$-0.97,0.0
2022-06-30,35.16,$-0.91,0.0
2022-03-31,44.63,$0.69,64.48
2021-12-31,38.23,$1.56,24.51
2021-09-30,33.69,$2.10,16.02
2021-06-30,31.52,$1.85,17.02
2021-03-31,32.14,$1.10,29.25
2020-12-31,24.98,$1.04,24.05
2020-09-30,21.92,$1.57,14.0
2020-06-30,20.16,$1.41,14.27
2020-03-31,16.77,$1.61,10.4
2019-12-31,21.46,$1.74,12.32
2019-09-30,19.8,$1.30,15.25
2019-06-30,20.12,$1.49,13.54
2019-03-31,16.97,$1.65,10.29
2018-12-31,18.76,$1.60,11.71
2018-09-30,18.89,$1.75,10.81
2018-06-30,16.02,$1.46,11.0
2018-03-31,15.93,$0.38,42.32
2017-12-31,15.73,$0.28,56.05
2017-09-30,18.24,$-0.14,0.0
2017-06-30,20.48,$-0.15,0.0
2017-03-31,21.65,$1.11,19.47
2016-12-31,23.63,$0.99,23.86
2016-09-30,18.98,$1.30,14.57
2016-06-30,18.83,$0.98,19.26
2016-03-31,15.65,$0.56,27.88
2015-12-31,15.34,$0.46,33.55
2015-06-30,17.14,$0.52,33.26
2015-03-31,16.12,$0.30,54.12
2014-12-31,18.21,$0.87,20.82
2014-09-30,15.11,$0.53,28.43
2014-06-30,15.44,$0.58,26.7
2014-03-31,15.28,$1.19,12.86
2015-09-30,16.51,$0.51,32.21
2013-12-31,15.31,$0.64,24.04
2013-09-30,15.54,$0.27,58.3
2013-06-30,16.06,$-0.17,0.0
2013-03-31,16.29,$0.43,37.96
2012-12-31,15.62,$0.82,19.14
2012-09-30,16.8,$0.93,18.14
2012-06-30,15.31,$0.96,15.96
2012-03-31,14.92,$0.67,22.37
2011-12-31,14.65,$0.31,47.06
2011-09-30,12.66,$0.49,25.7
2011-06-30,14.26,$0.90,15.92
2011-03-31,16.17,$0.79,20.6
2010-12-31,17.34,$1.16,14.93
2010-09-30,13.84,$0.95,14.5
2010-06-30,9.3,$1.13,8.21
2010-03-31,9.35,$1.49,6.29
2009-12-31,8.33,$1.63,5.11
