POSCO Price to Free Cash Flow Ratio Historical Data,POSCO Price to Free Cash Flow Ratio Historical Data,POSCO Price to Free Cash Flow Ratio Historical Data,POSCO Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,62.29,,0.0
2024-06-30,65.74,$-0.94,0.0
2024-03-31,77.87,$-1.17,0.0
2023-12-31,93.9,$-1.52,0.0
2023-09-30,101.2,$2.23,45.36
2023-06-30,72.67,$5.28,13.76
2023-03-31,68.05,$1.40,48.69
2022-12-31,53.19,$3.59,14.8
2022-09-30,35.5,$4.42,8.03
2022-06-30,42.75,$2.58,16.6
2022-03-31,55.99,$7.16,7.82
2021-12-31,54.48,$9.33,5.84
2021-09-30,63.36,$9.70,6.53
2021-06-30,69.48,$11.12,6.25
2021-03-31,64.62,$11.80,5.48
2020-12-31,55.25,$13.72,4.03
2020-09-30,36.53,$12.49,2.92
2020-06-30,32.06,$9.48,3.38
2020-03-31,28.18,$8.18,3.45
2019-12-31,43.28,$8.83,4.9
2019-09-30,39.69,$8.53,4.65
2019-06-30,44.25,$11.76,3.76
2019-03-31,45.69,$10.42,4.39
2018-12-31,45.13,$10.88,4.15
2018-09-30,53.15,$-25.09,0.0
2018-06-30,59.3,$11.74,5.05
2018-03-31,62.8,$11.73,5.35
2017-12-31,61.95,$9.45,6.56
2017-09-30,54.46,$44.45,1.23
2017-06-30,48.88,$3.84,12.72
2017-03-31,50.11,$6.32,7.93
2016-12-31,40.61,$8.41,4.83
2016-09-30,38.57,$13.09,2.95
2016-06-30,33.5,$10.10,3.32
2016-03-31,35.35,$16.02,2.21
2015-12-31,26.41,$14.35,1.84
2015-09-30,25.26,$11.49,2.2
2015-06-30,35.41,$15.07,2.35
2015-03-31,39.1,$5.02,7.79
2014-12-31,45.65,$-0.09,0.0
2014-09-30,54.3,$-4.73,0.0
2014-06-30,53.25,$-4.82,0.0
2014-03-31,49.65,$-5.37,0.0
2013-12-31,55.8,$-4.52,0.0
2013-09-30,51.9,$-1.89,0.0
2013-06-30,45.87,$-3.60,0.0
2013-03-31,51.66,$-3.36,0.0
2012-12-31,57.58,$1.55,37.17
2012-09-30,56.38,$-1.05,0.0
2012-06-30,55.62,$-3.49,0.0
2012-03-31,57.61,$-5.55,0.0
2011-12-31,56.5,$-9.67,0.0
2011-09-30,51.45,$-18.78,0.0
2011-06-30,73.52,$-16.42,0.0
2011-03-31,77.01,$-13.55,0.0
2010-12-31,72.56,$-10.22,0.0
2010-09-30,75.81,$3.43,22.07
2010-06-30,62.73,$6.96,9.01
2010-03-31,77.49,$9.46,8.19
2009-12-31,86.82,$7.91,10.98
