Delek US Holdings Price to Free Cash Flow Ratio Historical Data,Delek US Holdings Price to Free Cash Flow Ratio Historical Data,Delek US Holdings Price to Free Cash Flow Ratio Historical Data,Delek US Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,17.36,,3.04
2024-06-30,24.46,$5.71,4.28
2024-03-31,30.1,$8.18,3.68
2023-12-31,25.02,$9.04,2.77
2023-09-30,27.3,$3.18,8.58
2023-06-30,22.82,$-1.97,0.0
2023-03-31,21.65,$4.36,4.96
2022-12-31,25.23,$1.61,15.68
2022-09-30,25.21,$8.77,2.88
2022-06-30,23.63,$8.82,2.68
2022-03-31,19.41,$3.27,5.93
2021-12-31,13.71,$2.18,6.3
2021-09-30,16.44,$1.99,8.25
2021-06-30,19.77,$0.22,90.95
2021-03-31,19.92,$-3.95,0.0
2020-12-31,14.7,$-7.50,0.0
2020-09-30,10.18,$-8.57,0.0
2020-06-30,15.62,$-6.05,0.0
2020-03-31,13.93,$-2.78,0.0
2019-12-31,28.92,$2.03,14.26
2019-09-30,31.05,$5.00,6.2
2019-06-30,34.33,$6.50,5.28
2019-03-31,30.63,$6.19,4.95
2018-12-31,27.13,$2.87,9.44
2018-09-30,35.17,$2.25,15.65
2018-06-30,41.38,$0.28,149.51
2018-03-31,33.41,$-4.40,0.0
2017-12-31,28.53,$0.54,53.3
2017-09-30,21.72,$-2.67,0.0
2017-06-30,21.33,$-2.27,0.0
2016-12-31,19.19,$3.26,5.89
2016-09-30,13.68,$2.44,5.6
2016-06-30,10.36,$2.10,4.92
2016-03-31,11.82,$1.99,5.94
2015-12-31,18.9,$2.55,7.41
2017-03-31,19.47,$-0.63,0.0
2015-09-30,21.16,$1.75,12.11
2015-06-30,28.0,$0.79,35.47
2015-03-31,30.1,$0.43,69.48
2014-12-31,20.5,$1.83,11.18
2014-09-30,24.7,$-0.07,0.0
2014-06-30,20.96,$-1.50,0.0
2014-03-31,21.31,$-3.72,0.0
2013-12-31,25.05,$-2.00,0.0
2013-09-30,15.2,$0.97,15.66
2013-06-30,20.55,$3.00,6.84
2013-03-31,28.06,$6.01,4.67
2012-12-31,17.84,$5.55,3.21
2012-09-30,17.82,$4.47,3.99
2012-06-30,12.22,$5.52,2.21
2012-03-31,10.69,$-0.15,0.0
2011-12-31,7.84,$0.92,8.5
2011-09-30,7.61,$-0.04,0.0
2011-06-30,10.56,$-2.39,0.0
2011-03-31,9.1,$2.16,4.22
2010-12-31,4.87,$0.41,11.85
2010-09-30,4.76,$-0.26,0.0
2010-06-30,4.83,$0.70,6.89
2010-03-31,4.79,$-0.60,0.0
2009-12-31,4.46,$-0.40,0.0
