Merus Price to Free Cash Flow Ratio Historical Data,Merus Price to Free Cash Flow Ratio Historical Data,Merus Price to Free Cash Flow Ratio Historical Data,Merus Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,51.74,,0.0
2024-06-30,59.17,$-1.78,0.0
2024-03-31,45.03,$-2.73,0.0
2023-12-31,27.5,$-2.83,0.0
2023-09-30,23.58,$-2.83,0.0
2023-06-30,26.33,$-3.35,0.0
2023-03-31,18.4,$-3.30,0.0
2022-12-31,15.47,$-3.51,0.0
2022-09-30,20.03,$-3.54,0.0
2022-06-30,22.64,$-3.29,0.0
2022-03-31,26.44,$-3.17,0.0
2021-12-31,31.8,$-1.57,0.0
2021-09-30,22.0,$-1.58,0.0
2021-06-30,21.07,$-1.38,0.0
2021-03-31,20.89,$-1.37,0.0
2020-12-31,17.53,$-2.78,0.0
2020-09-30,12.0,$-2.70,0.0
2020-06-30,16.09,$-2.94,0.0
2020-03-31,12.1,$-2.98,0.0
2019-12-31,14.08,$-2.70,0.0
2019-09-30,17.82,$-2.46,0.0
2019-06-30,14.65,$-2.61,0.0
2019-03-31,14.77,$-1.97,0.0
2018-12-31,14.0,$-2.15,0.0
2018-09-30,19.74,$-2.14,0.0
2018-06-30,22.76,$-2.16,0.0
2018-03-31,18.53,$-2.64,0.0
2017-12-31,19.4,$-2.25,0.0
2017-09-30,19.87,$-2.73,0.0
2017-06-30,15.85,$-1.95,0.0
2017-03-31,24.39,$-2.58,0.0
