Paramount Price to Free Cash Flow Ratio Historical Data,Paramount Price to Free Cash Flow Ratio Historical Data,Paramount Price to Free Cash Flow Ratio Historical Data,Paramount Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,5.27,,7.35
2024-06-30,4.63,$0.72,6.46
2024-03-31,4.65,$0.41,11.3
2023-12-31,5.09,$0.36,14.19
2023-09-30,4.52,$0.15,29.47
2023-06-30,4.3,$0.30,14.51
2022-12-31,5.63,$0.55,10.3
2022-09-30,5.82,$0.88,6.59
2022-06-30,6.67,$0.95,7.02
2022-03-31,9.97,$0.88,11.26
2021-12-31,7.56,$0.95,7.98
2023-03-31,4.39,$0.70,6.27
2021-09-30,8.09,$1.23,6.58
2021-06-30,8.99,$1.19,7.57
2021-03-31,8.98,$1.26,7.13
2020-12-31,7.96,$1.07,7.47
2020-09-30,6.19,$0.55,11.24
2020-06-30,6.64,$1.45,4.58
2020-03-31,7.48,$-0.12,0.0
2019-12-31,11.7,$-0.22,0.0
2019-09-30,11.14,$1.01,11.01
2019-06-30,11.61,$0.20,58.95
2018-12-31,10.26,$1.53,6.68
2018-09-30,12.23,$3.41,3.59
2018-06-30,12.4,$2.27,5.46
2018-03-31,11.39,$1.35,8.42
2017-12-31,12.59,$3.69,3.41
2019-03-31,11.67,$2.05,5.7
2017-09-30,12.63,$-0.37,0.0
2017-06-30,12.56,$-0.08,0.0
2017-03-31,12.65,$-2.42,0.0
2016-12-31,12.4,$-2.30,0.0
2016-09-30,12.63,$-0.71,0.0
2016-06-30,12.22,$-0.42,0.0
2016-03-31,12.15,$-0.25,0.0
2015-12-31,13.71,$-0.59,0.0
2015-09-30,12.66,$-0.05,0.0
