Qorvo Price to Free Cash Flow Ratio Historical Data,Qorvo Price to Free Cash Flow Ratio Historical Data,Qorvo Price to Free Cash Flow Ratio Historical Data,Qorvo Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,115.89,,15.03
2024-06-30,116.04,$7.71,15.05
2024-03-31,114.83,$7.74,14.83
2023-12-31,112.61,$6.20,18.18
2023-09-30,95.47,$5.68,16.8
2023-06-30,102.03,$7.14,14.29
2023-03-31,101.57,$9.28,10.94
2022-12-31,90.64,$9.76,9.29
2022-06-30,94.32,$7.24,13.03
2022-03-31,124.1,$7.50,16.55
2021-12-31,156.39,$7.66,20.41
2021-09-30,167.19,$10.19,16.4
2021-06-30,195.65,$10.46,18.71
2021-03-31,182.7,$9.61,19.01
2020-12-31,166.27,$0.36,461.35
2020-09-30,129.01,$-0.61,0.0
2020-06-30,110.53,$-1.51,0.0
2020-03-31,80.63,$-1.38,0.0
2019-12-31,116.23,$6.26,18.55
2019-09-30,74.14,$6.12,12.11
2019-06-30,66.61,$6.08,10.95
2019-03-31,71.73,$4.63,15.5
2018-12-31,60.73,$5.24,11.6
2018-09-30,76.89,$4.96,15.51
2018-06-30,80.17,$5.01,16.02
2018-03-31,70.45,$4.59,15.35
2017-12-31,66.6,$3.44,19.37
2017-09-30,70.68,$2.32,30.45
2017-06-30,63.32,$2.16,29.37
2017-03-31,68.56,$1.76,38.89
2016-12-31,52.73,$1.62,32.62
2016-09-30,55.74,$2.14,26.09
2016-06-30,55.26,$1.73,31.98
2016-03-31,50.41,$2.62,19.22
2015-12-31,50.9,$-0.75,0.0
2015-09-30,45.05,$2.39,18.86
