Patrick Industries Price to Free Cash Flow Ratio Historical Data,Patrick Industries Price to Free Cash Flow Ratio Historical Data,Patrick Industries Price to Free Cash Flow Ratio Historical Data,Patrick Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,145.76,,9.22
2024-06-30,108.1,$15.82,6.83
2024-03-31,118.4,$17.78,6.66
2023-12-31,98.96,$15.94,6.21
2023-09-30,73.55,$18.06,4.07
2023-06-30,77.95,$18.90,4.12
2023-03-31,66.66,$14.32,4.65
2022-12-31,58.35,$13.87,4.21
2022-09-30,41.87,$10.73,3.9
2022-06-30,49.22,$7.31,6.74
2022-03-31,56.94,$5.09,11.19
2021-12-31,75.83,$8.03,9.44
2021-09-30,77.96,$6.04,12.9
2021-06-30,68.1,$6.57,10.37
2021-03-31,79.03,$6.87,11.51
2020-12-31,63.34,$5.56,11.4
2020-09-30,53.08,$6.72,7.9
2020-06-30,56.28,$5.06,11.11
2020-03-31,25.75,$0.43,59.33
2019-12-31,47.69,$2.87,16.6
2019-09-30,38.82,$1.33,29.14
2019-06-30,44.53,$2.71,16.45
2018-12-31,26.81,$7.07,3.79
2018-09-30,53.59,$6.76,7.93
2018-06-30,51.46,$6.34,8.12
2018-03-31,55.99,$4.26,13.14
2017-12-31,62.87,$4.59,13.69
2019-03-31,41.03,$1.61,25.45
2017-09-30,50.76,$2.58,19.64
2017-06-30,43.97,$3.44,12.77
2017-03-31,42.79,$2.41,17.77
2016-12-31,46.05,$3.58,12.85
2016-09-30,37.37,$3.43,10.89
2016-06-30,36.39,$2.08,17.53
2016-03-31,27.39,$3.30,8.31
2015-12-31,26.25,$2.54,10.35
2015-09-30,23.83,$1.75,13.58
2015-06-30,22.96,$2.10,10.92
2015-03-31,25.05,$1.19,21.12
2014-12-31,17.7,$1.66,10.67
2014-09-30,17.04,$0.68,24.88
2014-06-30,18.75,$0.69,27.33
2014-03-31,17.84,$0.87,20.58
2013-12-31,11.64,$0.61,19.11
2013-09-30,12.09,$0.88,13.7
2013-06-30,8.36,$0.57,14.63
2013-03-31,6.34,$0.15,43.25
2012-12-31,6.26,$0.21,30.11
2012-09-30,6.22,$0.49,12.71
2012-06-30,5.13,$0.45,11.29
2011-12-31,1.65,$0.41,3.98
2011-09-30,0.75,$0.98,0.77
2011-06-30,0.84,$0.57,1.48
2011-03-31,1.1,$0.89,1.23
2010-12-31,0.76,$0.96,0.8
2012-03-31,4.89,$0.40,12.35
2010-09-30,0.86,$0.62,1.39
2010-06-30,0.74,$0.49,1.53
2010-03-31,1.17,$0.40,2.94
2009-12-31,0.98,$0.26,3.82
