Semtech Price to Free Cash Flow Ratio Historical Data,Semtech Price to Free Cash Flow Ratio Historical Data,Semtech Price to Free Cash Flow Ratio Historical Data,Semtech Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,43.96,,0.0
2024-07-31,31.72,$-0.14,0.0
2024-04-30,37.62,$-0.31,0.0
2024-01-31,19.84,$-1.91,0.0
2023-10-31,13.96,$-2.49,0.0
2023-07-31,29.2,$-2.13,0.0
2023-04-30,19.49,$-0.74,0.0
2023-01-31,33.03,$1.54,21.48
2022-10-31,27.69,$2.57,10.77
2022-07-31,62.33,$3.34,18.69
2022-04-30,59.6,$2.94,20.27
2022-01-31,71.1,$2.70,26.33
2021-10-31,85.03,$2.31,36.88
2021-07-31,61.91,$2.14,28.87
2021-04-30,67.74,$1.72,39.45
2021-01-31,70.95,$1.94,36.54
2020-10-31,54.89,$2.14,25.68
2020-04-30,45.24,$1.82,24.8
2020-01-31,48.19,$1.42,33.87
2019-10-31,50.46,$2.49,20.29
2019-07-31,52.87,$0.98,53.94
2019-04-30,53.87,$1.23,43.9
2019-01-31,48.56,$1.99,24.38
2020-07-31,55.73,$0.74,75.57
2018-10-31,44.94,$2.24,20.03
2018-07-31,47.45,$2.13,22.25
2018-04-30,39.3,$1.57,25.05
2018-01-31,35.8,$1.34,26.76
2017-10-31,41.05,$1.35,30.31
2017-04-30,34.15,$1.19,28.7
2017-01-31,32.95,$1.28,25.71
2016-10-31,24.2,$2.02,11.98
2016-07-31,25.42,$1.09,23.4
2016-04-30,21.64,$0.90,23.92
2016-01-31,20.1,$1.20,16.72
2017-07-31,39.6,$0.40,98.78
2015-10-31,17.5,$0.95,18.4
2015-07-31,17.59,$1.00,17.6
2015-04-30,23.29,$1.01,23.12
2015-01-31,25.46,$1.10,23.13
2014-10-31,25.38,$1.40,18.16
2014-07-31,22.33,$1.41,15.85
2014-04-30,23.98,$1.35,17.81
2014-01-31,22.81,$1.20,19.03
2013-10-31,31.11,$1.27,24.53
2013-07-31,30.25,$1.65,18.28
2013-04-30,32.07,$1.50,21.33
2013-01-31,30.16,$1.17,25.86
2012-10-31,24.97,$1.06,23.59
2012-07-31,23.89,$0.81,29.55
2012-04-30,27.26,$0.94,29.12
2012-01-31,28.48,$1.16,24.49
2011-10-31,24.42,$1.16,21.02
2011-07-31,23.3,$1.04,22.37
2011-04-30,28.07,$0.98,28.54
2011-01-31,21.84,$1.06,20.61
2010-10-31,21.41,$1.10,19.48
2010-07-31,17.38,$1.08,16.03
2010-04-30,18.17,$1.03,17.58
2010-01-31,14.98,$1.21,12.36
2009-10-31,15.47,$1.95,7.94
