Geo Group Inc Price to Free Cash Flow Ratio Historical Data,Geo Group Inc Price to Free Cash Flow Ratio Historical Data,Geo Group Inc Price to Free Cash Flow Ratio Historical Data,Geo Group Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,15.15,,6.19
2024-06-30,14.36,$2.45,5.86
2024-03-31,14.12,$2.83,4.98
2023-12-31,10.83,$3.14,3.45
2023-03-31,7.89,$2.27,3.47
2022-12-31,10.95,$2.52,4.35
2022-09-30,7.7,$1.97,3.92
2022-06-30,6.6,$1.75,3.78
2022-03-31,6.61,$1.93,3.43
2021-12-31,7.75,$1.98,3.92
2021-09-30,7.47,$2.61,2.87
2021-06-30,7.12,$2.68,2.66
2021-03-31,7.76,$2.03,3.82
2020-12-31,8.6,$1.97,4.37
2020-09-30,10.68,$2.30,4.65
2023-09-30,8.18,$1.50,5.45
2020-06-30,10.7,$2.21,4.83
2020-03-31,10.6,$2.09,5.06
2019-12-31,14.09,$1.86,7.57
2019-09-30,14.27,$2.12,6.73
2019-06-30,16.84,$1.40,11.99
2019-03-31,15.02,$1.12,13.38
2018-12-31,15.09,$0.70,21.52
2018-09-30,18.91,$2.86,6.61
2018-06-30,20.33,$2.74,7.43
2018-03-31,14.79,$2.01,7.37
2017-12-31,16.66,$1.95,8.52
2017-09-30,18.65,$-0.62,0.0
2017-06-30,20.18,$-1.03,0.0
2017-03-31,20.8,$-0.43,0.0
2016-12-31,15.87,$-0.96,0.0
2016-09-30,10.22,$-0.59,0.0
2016-06-30,14.41,$0.08,183.79
2016-03-31,14.33,$-0.84,0.0
2015-12-31,11.66,$-0.02,0.0
2015-09-30,11.72,$0.09,125.39
2015-06-30,13.23,$0.09,147.27
2023-06-30,7.16,$0.62,11.47
2015-03-31,16.65,$0.63,26.3
2014-12-31,15.15,$0.82,18.52
2014-09-30,14.12,$0.97,14.52
2014-06-30,13.0,$1.44,9.05
2014-03-31,11.54,$0.81,14.3
2013-12-31,11.33,$0.72,15.85
2013-09-30,11.5,$0.74,15.51
2013-06-30,11.57,$1.25,9.27
2013-03-31,12.65,$1.86,6.81
2012-12-31,9.34,$1.76,5.32
2012-09-30,7.6,$1.36,5.61
2012-06-30,6.19,$0.21,28.87
2012-03-31,5.18,$-0.35,0.0
2011-12-31,4.57,$-0.26,0.0
2011-09-30,5.06,$-0.04,0.0
2011-06-30,6.28,$0.18,34.04
2011-03-31,6.99,$0.11,65.61
2010-12-31,6.72,$0.42,15.82
2010-09-30,6.36,$0.61,10.39
2010-06-30,5.66,$0.01,0.0
2010-03-31,5.4,$0.09,60.63
2009-12-31,5.96,$-0.24,0.0
