IMAX Price to Free Cash Flow Ratio Historical Data,IMAX Price to Free Cash Flow Ratio Historical Data,IMAX Price to Free Cash Flow Ratio Historical Data,IMAX Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,20.84,,22.05
2023-12-31,15.02,$0.95,15.89
2023-09-30,19.32,$0.69,27.82
2023-06-30,16.99,$0.69,24.58
2023-03-31,19.18,$0.68,28.22
2022-12-31,14.66,$0.23,62.65
2024-06-30,16.77,$0.40,41.9
2022-09-30,14.12,$0.33,43.18
2022-06-30,16.89,$0.12,135.77
2022-03-31,18.93,$-0.04,0.0
2021-12-31,17.84,$-0.07,0.0
2021-09-30,18.98,$-0.68,0.0
2024-03-31,16.17,$-0.40,0.0
2021-06-30,21.5,$-0.34,0.0
2021-03-31,20.1,$-0.69,0.0
2020-12-31,18.02,$-0.40,0.0
2020-09-30,11.96,$-0.19,0.0
2020-06-30,11.21,$0.26,42.62
2020-03-31,9.05,$1.49,6.07
2019-12-31,20.43,$1.35,15.14
2019-09-30,21.95,$1.57,14.02
2019-06-30,20.2,$1.65,12.24
2019-03-31,22.68,$1.34,16.88
2018-12-31,18.81,$1.53,12.31
2018-09-30,25.8,$1.17,21.96
2018-06-30,22.15,$1.12,19.82
2018-03-31,19.2,$1.14,16.83
2017-12-31,23.15,$0.93,24.78
2017-09-30,22.65,$1.12,20.18
2017-06-30,22.0,$0.93,23.66
2017-03-31,34.0,$0.84,40.43
2016-12-31,31.4,$0.92,34.24
2016-09-30,28.97,$1.05,27.69
2016-06-30,29.48,$1.21,24.39
2016-03-31,31.09,$0.82,38.09
2015-12-31,35.54,$0.58,61.67
2015-09-30,33.79,$0.04,776.78
2015-06-30,40.27,$0.17,232.77
2015-03-31,33.71,$0.35,96.15
2014-12-31,30.9,$0.67,46.06
2014-09-30,27.46,$0.90,30.53
2014-06-30,28.48,$0.83,34.12
2014-03-31,27.33,$0.76,36.02
2013-12-31,29.48,$0.61,48.38
2013-09-30,30.24,$0.63,47.89
2013-06-30,24.86,$0.77,32.13
2013-03-31,26.73,$0.78,34.07
2012-12-31,22.48,$0.99,22.6
2012-09-30,19.91,$0.43,46.51
2012-06-30,24.03,$-0.03,0.0
2012-03-31,24.44,$-0.17,0.0
2011-12-31,18.33,$-0.48,0.0
2011-09-30,14.48,$-0.44,0.0
2011-06-30,32.43,$-0.23,0.0
2011-03-31,31.98,$0.16,200.88
2010-12-31,28.07,$0.47,59.62
2010-09-30,16.86,$0.65,26.14
2010-06-30,14.6,$0.29,49.83
2010-03-31,17.99,$0.01,0.0
2009-12-31,13.31,$-0.20,0.0
