Sprott Price to Free Cash Flow Ratio Historical Data,Sprott Price to Free Cash Flow Ratio Historical Data,Sprott Price to Free Cash Flow Ratio Historical Data,Sprott Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,45.5,,38.72
2024-06-30,41.39,$1.18,35.22
2024-03-31,36.96,$1.09,33.98
2023-12-31,33.95,$1.09,31.25
2023-09-30,30.47,$1.21,25.2
2023-06-30,32.4,$1.11,29.13
2023-03-31,36.42,$1.40,25.96
2022-12-31,33.33,$1.24,26.96
2022-09-30,33.51,$0.86,39.07
2022-06-30,34.43,$1.66,20.79
2022-03-31,49.56,$1.48,33.44
2021-12-31,44.22,$1.95,22.66
2021-09-30,35.79,$1.70,21.0
2021-06-30,38.11,$1.44,26.39
2021-03-31,36.82,$1.47,25.08
2020-12-31,28.09,$0.99,28.34
