Lloyds Banking Group Price to Free Cash Flow Ratio Historical Data,Lloyds Banking Group Price to Free Cash Flow Ratio Historical Data,Lloyds Banking Group Price to Free Cash Flow Ratio Historical Data,Lloyds Banking Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,3.2,,inf
2024-03-31,2.45,0,0.0
2023-03-31,2.08,0,0.0
2022-03-31,2.06,0,0.0
2021-03-31,1.93,0,0.0
2020-03-31,1.26,0,0.0
2019-03-31,2.53,$-0.82,0.0
2017-03-31,2.43,$0.89,2.73
2016-03-31,2.7,$0.89,3.03
2015-12-31,2.98,$1.69,1.77
2015-06-30,3.68,$2.51,1.46
2015-03-31,3.13,$0.80,3.93
2014-12-31,3.11,$0.80,3.91
2014-09-30,3.38,$-1.50,0.0
2014-06-30,3.44,$-1.50,0.0
2014-03-31,3.41,$-1.50,0.0
2013-12-31,3.57,$-1.50,0.0
2013-09-30,3.22,0,0.0
2013-06-30,2.57,0,0.0
2013-03-31,2.01,0,0.0
2012-09-30,1.67,0,0.0
2012-06-30,1.29,0,0.0
2012-03-31,1.42,0,0.0
2011-12-31,1.05,0,0.0
2011-09-30,1.4,0,0.0
2011-06-30,2.09,0,0.0
2010-12-31,2.75,$-0.22,0.0
2010-06-30,2.12,0,0.0
2009-12-31,2.19,0,0.0
