Qifu Technology Price to Free Cash Flow Ratio Historical Data,Qifu Technology Price to Free Cash Flow Ratio Historical Data,Qifu Technology Price to Free Cash Flow Ratio Historical Data,Qifu Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,32.03,,4.87
2024-06-30,19.34,$6.58,2.94
2024-03-31,17.52,$6.20,2.83
2023-12-31,15.04,$6.03,2.49
2023-09-30,14.6,$5.68,2.57
2023-06-30,15.89,$5.88,2.7
2023-03-31,17.69,$5.46,3.24
2022-12-31,18.56,$5.31,3.5
2022-09-30,11.58,$9.23,1.26
2022-06-30,15.44,$8.00,1.93
2022-03-31,13.31,$7.02,1.89
2021-12-31,19.83,$5.63,3.52
2021-09-30,17.34,$5.32,3.26
2021-06-30,35.7,$5.32,6.72
2021-03-31,22.19,$5.32,4.18
2020-12-31,10.06,$5.32,1.89
2020-09-30,10.19,$2.81,3.62
2020-06-30,9.14,$2.81,3.25
2020-03-31,6.83,$2.81,2.43
2019-12-31,8.34,$2.81,2.96
2019-09-30,7.59,$0.35,21.54
