FS KKR Capital Price to Free Cash Flow Ratio Historical Data,FS KKR Capital Price to Free Cash Flow Ratio Historical Data,FS KKR Capital Price to Free Cash Flow Ratio Historical Data,FS KKR Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,20.47,,4.71
2024-06-30,19.04,$4.35,4.38
2024-03-31,17.73,$5.72,3.1
2023-12-31,17.85,$4.94,3.61
2023-09-30,16.95,$6.92,2.45
2023-06-30,15.91,$7.20,2.21
2023-03-31,14.76,$6.61,2.23
2022-12-31,13.43,$3.90,3.44
2022-09-30,12.54,$-0.49,0.0
2022-06-30,13.92,$-6.23,0.0
2022-03-31,15.79,$-4.85,0.0
2021-12-31,14.08,$-2.11,0.0
2021-09-30,14.38,$0.50,28.48
2021-03-31,12.24,$7.90,1.55
2020-12-31,9.93,$5.43,1.83
2020-09-30,9.2,$-1.07,0.0
2020-06-30,7.82,$-0.19,0.0
2020-03-31,6.47,$-3.62,0.0
2019-12-31,12.48,$-2.54,0.0
2021-06-30,13.63,$3.62,3.77
2019-09-30,11.52,$1.22,9.48
2019-06-30,11.4,$2.58,4.42
2019-03-31,11.22,$3.01,3.73
2018-12-31,9.32,$4.46,2.09
2018-09-30,12.11,$5.59,2.16
2018-06-30,12.29,$6.16,2.0
2018-03-31,11.83,$7.89,1.5
2017-12-31,11.68,$1.08,10.85
2017-09-30,13.1,$4.64,2.82
2017-06-30,13.81,$4.95,2.79
2017-03-31,14.44,$1.84,7.85
2016-12-31,14.83,$8.64,1.72
2016-09-30,13.34,$5.47,2.44
2016-06-30,12.45,$1.34,9.31
2016-03-31,12.31,$4.52,2.72
2015-12-31,11.78,$2.90,4.07
2015-09-30,11.92,$2.79,4.27
2015-06-30,12.31,$5.61,2.2
2015-03-31,12.42,$3.02,4.12
