PagSeguro Digital Price to Free Cash Flow Ratio Historical Data,PagSeguro Digital Price to Free Cash Flow Ratio Historical Data,PagSeguro Digital Price to Free Cash Flow Ratio Historical Data,PagSeguro Digital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,8.34,,0.0
2024-06-30,11.69,$-0.02,0.0
2024-03-31,14.28,$3.09,4.62
2023-12-31,12.47,$1.90,6.57
2023-09-30,8.61,$1.84,4.68
2023-06-30,9.44,$1.87,5.04
2023-03-31,8.57,$1.68,5.11
2022-12-31,8.74,$1.44,6.06
2022-09-30,13.23,$0.25,53.2
2022-06-30,10.24,$-0.16,0.0
2022-03-31,20.05,$0.02,1038.86
2021-12-31,26.22,$-0.04,0.0
2021-09-30,51.72,$0.42,123.29
2021-06-30,55.92,$-0.06,0.0
2021-03-31,46.3,$-0.34,0.0
2020-12-31,56.88,$0.37,153.27
2020-09-30,37.71,$1.67,22.53
2020-06-30,35.34,$2.31,15.27
2020-03-31,19.33,$2.37,8.15
2019-12-31,34.16,$1.16,29.34
2018-12-31,18.73,$-1.57,0.0
2018-09-30,27.67,$-2.04,0.0
2018-06-30,27.75,$-2.11,0.0
2018-03-31,38.32,$-1.80,0.0
