Vicor Price to Free Cash Flow Ratio Historical Data,Vicor Price to Free Cash Flow Ratio Historical Data,Vicor Price to Free Cash Flow Ratio Historical Data,Vicor Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,41.15,,52.49
2024-06-30,33.16,$0.78,42.3
2024-03-31,38.24,$0.81,47.39
2023-12-31,44.94,$0.91,49.24
2023-09-30,58.89,$0.33,179.0
2023-06-30,54.0,$-0.20,0.0
2023-03-31,46.94,$-0.51,0.0
2022-12-31,53.75,$-0.91,0.0
2022-09-30,59.14,$-0.71,0.0
2022-06-30,54.73,$-0.65,0.0
2022-03-31,70.55,$-0.44,0.0
2021-12-31,126.98,$0.15,854.51
2021-09-30,134.16,$0.38,355.39
2021-06-30,105.74,$0.57,184.67
2021-03-31,85.03,$0.42,200.16
2020-12-31,92.22,$0.14,664.41
2020-09-30,77.73,$0.03,3096.81
2020-06-30,71.95,$0.13,537.34
2020-03-31,44.54,$0.27,165.21
2019-12-31,46.72,$0.23,200.17
2019-09-30,29.52,$0.23,128.74
2019-06-30,31.05,$0.31,101.8
2019-03-31,31.02,$0.38,82.48
2018-12-31,37.79,$0.44,85.42
2018-09-30,46.0,$0.26,180.04
2018-06-30,43.55,$-0.09,0.0
2018-03-31,28.55,$-0.34,0.0
2017-12-31,20.9,$-0.38,0.0
2017-09-30,23.6,$-0.24,0.0
2017-06-30,17.9,$-0.14,0.0
2017-03-31,16.1,$-0.24,0.0
2016-12-31,15.1,$-0.20,0.0
2016-09-30,11.6,$-0.33,0.0
2016-06-30,10.07,$-0.39,0.0
2016-03-31,10.48,$-0.10,0.0
2015-12-31,9.12,$0.06,146.39
2015-09-30,10.2,$0.15,67.86
2015-06-30,12.19,$0.25,48.84
2015-03-31,15.2,$0.12,124.59
2014-12-31,12.1,$-0.13,0.0
2014-09-30,9.4,$-0.19,0.0
2014-06-30,8.38,$-0.25,0.0
2014-03-31,10.2,$-0.36,0.0
2013-12-31,13.42,$-0.28,0.0
2013-09-30,8.18,$-0.17,0.0
2013-06-30,6.85,$-0.18,0.0
2013-03-31,4.97,$0.02,297.6
2012-12-31,5.42,$0.24,22.95
2012-09-30,6.67,$0.31,21.4
2012-06-30,6.94,$0.41,17.05
2012-03-31,8.0,$0.44,18.29
2011-12-31,7.96,$0.45,17.58
2011-09-30,8.75,$0.41,21.59
2011-06-30,15.97,$0.41,39.02
2011-03-31,16.28,$0.34,48.24
2010-12-31,16.2,$0.12,129.77
2010-09-30,14.43,$0.15,98.82
2010-06-30,12.07,$0.14,88.58
2010-03-31,13.35,$0.24,56.62
2009-12-31,8.99,$0.34,26.4
