Southwest Airlines Price to Free Cash Flow Ratio Historical Data,Southwest Airlines Price to Free Cash Flow Ratio Historical Data,Southwest Airlines Price to Free Cash Flow Ratio Historical Data,Southwest Airlines Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,28.92,,0.0
2024-06-30,28.61,$-2.67,0.0
2024-03-31,29.01,$-1.13,0.0
2023-12-31,28.55,$-0.56,0.0
2023-09-30,26.6,$-1.33,0.0
2023-06-30,35.37,$-2.30,0.0
2023-03-31,31.62,$-1.73,0.0
2022-12-31,32.38,$-0.21,0.0
2022-09-30,29.66,$1.11,26.79
2022-06-30,34.73,$1.31,26.43
2022-03-31,44.04,$3.03,14.54
2021-12-31,41.19,$2.98,13.81
2021-09-30,49.45,$1.63,30.36
2021-06-30,51.05,$0.76,66.79
2021-03-31,58.71,$-0.66,0.0
2020-12-31,44.82,$-2.15,0.0
2020-09-30,36.06,$0.85,42.42
2020-06-30,32.87,$4.22,7.79
2020-03-31,34.24,$3.94,8.7
2019-12-31,51.7,$6.23,8.29
2019-09-30,51.56,$5.24,9.85
2019-06-30,48.3,$5.34,9.05
2019-03-31,49.2,$5.88,8.37
2018-12-31,44.05,$5.18,8.51
2018-09-30,59.19,$4.48,13.22
2018-06-30,48.09,$3.61,13.31
2018-03-31,53.98,$2.03,26.57
2017-12-31,61.54,$3.00,20.55
2017-09-30,52.53,$2.96,17.75
2017-06-30,58.17,$3.02,19.24
2017-03-31,50.23,$3.72,13.51
2016-12-31,46.48,$3.56,13.05
2016-09-30,36.19,$2.80,12.91
2016-06-30,36.39,$3.05,11.94
2016-03-31,41.48,$2.32,17.89
2015-12-31,39.8,$1.79,22.24
2015-09-30,35.1,$2.15,16.35
2015-06-30,30.48,$2.24,13.63
2015-03-31,40.72,$2.95,13.82
2014-12-31,38.85,$1.43,27.09
2014-09-30,30.95,$2.07,14.94
2014-03-31,21.55,$1.86,11.58
2013-12-31,17.17,$1.45,11.81
2013-09-30,13.24,$0.36,37.06
2013-06-30,11.69,$1.18,9.89
2013-03-31,12.19,$0.48,25.34
2012-12-31,9.25,$-0.48,0.0
2014-06-30,24.57,$2.27,10.84
2012-09-30,7.91,$1.14,6.92
2012-06-30,8.31,$0.40,20.7
2012-03-31,7.42,$0.71,10.44
2011-12-31,7.7,$0.50,15.39
2011-09-30,7.23,$0.78,9.21
2011-06-30,10.26,$1.79,5.74
2011-03-31,11.35,$2.33,4.88
2010-12-31,11.66,$1.43,8.15
2010-09-30,11.73,$1.71,6.87
2010-06-30,9.97,$1.16,8.56
2010-03-31,11.86,$0.58,20.35
2009-12-31,10.25,$0.54,18.99
