Hope Bancorp Price to Free Cash Flow Ratio Historical Data,Hope Bancorp Price to Free Cash Flow Ratio Historical Data,Hope Bancorp Price to Free Cash Flow Ratio Historical Data,Hope Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,13.45,,6.11
2024-06-30,10.61,$2.20,4.82
2024-03-31,11.23,$3.45,3.26
2023-12-31,11.63,$3.83,3.04
2023-09-30,8.38,$4.14,2.03
2023-06-30,7.87,$3.40,2.31
2023-03-31,9.02,$3.06,2.95
2022-12-31,11.65,$3.95,2.95
2022-09-30,11.37,$3.81,2.99
2022-06-30,12.33,$3.63,3.4
2022-03-31,14.19,$3.62,3.92
2021-12-31,12.88,$2.57,5.0
2021-09-30,12.52,$2.12,5.92
2021-06-30,12.17,$1.64,7.44
2021-03-31,12.81,$1.19,10.77
2020-12-31,9.17,$1.30,7.06
2020-09-30,6.27,$1.22,5.13
2020-06-30,7.5,$1.50,5.0
2020-03-31,6.58,$1.40,4.7
2019-12-31,11.78,$1.40,8.43
2019-09-30,11.25,$1.41,8.0
2019-06-30,10.71,$1.54,6.97
2019-03-31,10.06,$1.81,5.56
2018-12-31,9.03,$1.62,5.59
2018-09-30,12.19,$1.80,6.77
2018-06-30,13.34,$1.51,8.86
2018-03-31,13.51,$1.29,10.48
2017-12-31,13.46,$1.43,9.42
2017-09-30,12.97,$1.91,6.8
2017-06-30,13.55,$1.53,8.85
2017-03-31,13.85,$1.60,8.66
2016-12-31,15.72,$1.12,13.99
2016-09-30,12.38,$0.51,24.12
2016-06-30,10.56,$1.18,8.92
2016-03-31,10.67,$1.06,10.05
2015-12-31,12.01,$1.22,9.84
2015-09-30,10.41,$1.38,7.56
2015-06-30,10.18,$1.39,7.34
2015-03-31,9.89,$1.39,7.11
2014-12-31,9.76,$1.62,6.02
2014-09-30,9.83,$1.53,6.43
2014-06-30,10.67,$1.31,8.12
2014-03-31,11.41,$1.77,6.44
2013-12-31,10.99,$1.58,6.97
2013-09-30,9.06,$1.67,5.42
2013-06-30,9.32,$1.36,6.86
2013-03-31,8.53,$1.03,8.27
2012-12-31,7.53,$1.25,6.02
2012-09-30,8.17,$1.29,6.35
2012-06-30,7.05,$1.89,3.73
2012-03-31,7.21,$2.46,2.93
2011-12-31,6.12,$2.26,2.71
2011-09-30,3.93,$2.03,1.94
2011-06-30,5.27,$2.84,1.86
2011-03-31,6.23,$3.11,2.0
2010-12-31,6.38,$3.50,1.82
2010-09-30,4.57,$3.64,1.25
2010-06-30,5.46,$2.81,1.94
2010-03-31,5.67,$2.10,2.7
2009-12-31,7.35,$1.95,3.76
