Intellia Therapeutics Price to Free Cash Flow Ratio Historical Data,Intellia Therapeutics Price to Free Cash Flow Ratio Historical Data,Intellia Therapeutics Price to Free Cash Flow Ratio Historical Data,Intellia Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,20.98,,0.0
2024-06-30,22.38,$-4.12,0.0
2024-03-31,27.51,$-4.60,0.0
2023-12-31,30.49,$-4.60,0.0
2023-09-30,31.62,$-4.71,0.0
2023-06-30,40.78,$-4.61,0.0
2023-03-31,37.27,$-4.71,0.0
2022-12-31,34.89,$-4.50,0.0
2022-09-30,55.96,$-4.23,0.0
2022-06-30,51.76,$-3.98,0.0
2022-03-31,72.67,$-3.63,0.0
2021-12-31,118.24,$-3.35,0.0
2021-09-30,134.15,$-3.19,0.0
2021-06-30,161.91,$-2.90,0.0
2021-03-31,80.26,$-0.99,0.0
2020-12-31,54.4,$-0.96,0.0
2020-09-30,19.88,$-0.91,0.0
2020-06-30,21.02,$-0.88,0.0
2020-03-31,12.23,$-2.60,0.0
2019-12-31,14.67,$-2.33,0.0
2019-09-30,13.35,$-1.86,0.0
2019-06-30,16.37,$-1.69,0.0
2019-03-31,17.08,$-1.61,0.0
2018-12-31,13.65,$-1.57,0.0
2018-09-30,28.62,$-1.96,0.0
2018-06-30,27.36,$-2.17,0.0
2018-03-31,21.09,$-2.11,0.0
2017-12-31,19.22,$-2.09,0.0
2017-09-30,24.85,$-1.51,0.0
2017-06-30,16.0,$-2.51,0.0
2017-03-31,14.09,$0.90,15.67
