Consol Energy Price to Free Cash Flow Ratio Historical Data,Consol Energy Price to Free Cash Flow Ratio Historical Data,Consol Energy Price to Free Cash Flow Ratio Historical Data,Consol Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,107.56,,8.63
2024-06-30,101.78,$12.46,8.17
2024-03-31,83.56,$16.05,5.21
2023-12-31,100.28,$20.95,4.79
2023-09-30,104.65,$19.54,5.35
2023-06-30,67.64,$18.21,3.71
2023-03-31,57.07,$16.90,3.38
2022-12-31,62.42,$14.03,4.45
2022-09-30,60.71,$11.33,5.36
2022-06-30,45.93,$9.43,4.87
2022-03-31,35.0,$6.60,5.3
2021-12-31,21.12,$5.27,4.01
2021-09-30,24.2,$6.54,3.7
2021-06-30,17.18,$5.63,3.05
2021-03-31,9.04,$1.27,7.11
2020-12-31,6.71,$-1.43,0.0
2020-09-30,4.12,$-2.83,0.0
2020-06-30,4.72,$-1.70,0.0
2019-12-31,13.49,$2.85,4.74
2019-09-30,14.54,$12.04,1.21
2019-06-30,24.75,$12.52,1.98
2019-03-31,31.83,$11.63,2.74
2018-12-31,29.49,$14.39,2.05
2020-03-31,3.43,$9.14,0.38
2018-09-30,37.95,$15.00,2.53
