XP Price to Free Cash Flow Ratio Historical Data,XP Price to Free Cash Flow Ratio Historical Data,XP Price to Free Cash Flow Ratio Historical Data,XP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,18.16,,9.56
2024-06-30,17.59,$1.90,9.26
2024-03-31,25.66,$0.51,50.01
2023-12-31,26.07,$2.97,8.79
2023-09-30,22.32,$1.96,11.36
2023-06-30,22.2,$2.40,9.24
2023-03-31,11.23,$1.46,7.7
2022-12-31,14.52,$0.59,24.41
2022-09-30,17.99,$0.46,39.45
2022-06-30,17.0,$-0.83,0.0
2022-03-31,28.48,$-1.09,0.0
2021-12-31,27.2,$-1.34,0.0
2021-09-30,38.01,$-1.50,0.0
2021-06-30,41.21,$0.01,0.0
2021-03-31,35.65,$0.65,55.15
2020-12-31,37.54,$0.47,79.23
2020-09-30,39.45,$0.26,153.86
