Apartment Investment And Management Price to Free Cash Flow Ratio Historical Data,Apartment Investment And Management Price to Free Cash Flow Ratio Historical Data,Apartment Investment And Management Price to Free Cash Flow Ratio Historical Data,Apartment Investment And Management Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,8.78,,0.0
2024-06-30,8.29,$-1.05,0.0
2024-03-31,8.19,$-1.24,0.0
2023-12-31,7.83,$-1.51,0.0
2023-09-30,6.8,$-1.61,0.0
2023-06-30,8.52,$0.33,26.02
2023-03-31,7.69,$0.84,9.12
2022-12-31,7.12,$0.65,11.02
2022-09-30,7.3,$0.69,10.63
2022-06-30,6.39,$-1.50,0.0
2022-03-31,7.3,$-1.94,0.0
2021-12-31,7.7,$-1.57,0.0
2021-09-30,6.83,$-1.34,0.0
2021-06-30,6.7,$-1.25,0.0
2021-03-31,6.13,$-0.86,0.0
2020-12-31,5.27,$-0.57,0.0
2020-09-30,5.11,$-3.27,0.0
2020-06-30,5.64,$-3.50,0.0
2020-03-31,5.2,$-3.34,0.0
2019-12-31,7.58,$-0.52,0.0
2019-09-30,7.6,$-2.03,0.0
2019-06-30,7.25,$4.08,1.78
2019-03-31,7.22,$3.71,1.94
2018-12-31,6.24,$0.11,59.26
2018-09-30,6.22,$7.60,0.82
2018-06-30,5.91,$2.48,2.39
2018-03-31,5.64,$2.75,2.05
2017-12-31,5.99,$3.38,1.77
2017-09-30,5.96,$2.02,2.95
2017-06-30,5.8,$-0.20,0.0
2017-03-31,5.93,$2.14,2.78
2016-12-31,6.03,$2.24,2.69
2016-09-30,6.04,$1.47,4.12
2016-06-30,5.77,$3.46,1.67
2016-03-31,5.42,$0.87,6.21
2015-12-31,5.14,$1.57,3.28
2015-09-30,4.72,$-0.14,0.0
2015-06-30,4.67,$1.66,2.82
2015-03-31,4.94,$3.00,1.65
2014-12-31,4.63,$2.71,1.71
2014-09-30,3.94,$5.48,0.72
2014-06-30,3.96,$4.12,0.96
2014-03-31,3.68,$3.02,1.22
2013-12-31,3.13,$2.47,1.27
2013-09-30,3.34,$2.38,1.41
2013-06-30,3.56,$3.09,1.15
2013-03-31,3.61,$3.74,0.97
2012-12-31,3.16,$4.19,0.75
2012-09-30,3.01,$3.70,0.81
2012-06-30,3.11,$3.22,0.96
2012-03-31,3.01,$3.54,0.85
2011-12-31,2.6,$3.43,0.76
2011-09-30,2.49,$2.96,0.84
2011-06-30,2.86,$3.03,0.95
2011-03-31,2.85,$3.30,0.86
2010-12-31,2.87,$3.26,0.88
2010-09-30,2.37,$5.94,0.4
2010-06-30,2.13,$8.60,0.25
2010-03-31,2.02,$9.59,0.21
2009-12-31,1.75,$9.04,0.19
