Edwards Lifesciences Price to Free Cash Flow Ratio Historical Data,Edwards Lifesciences Price to Free Cash Flow Ratio Historical Data,Edwards Lifesciences Price to Free Cash Flow Ratio Historical Data,Edwards Lifesciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,69.96,,0.0
2024-06-30,92.37,$-0.14,0.0
2023-12-31,76.25,$1.05,72.29
2023-09-30,69.28,$2.73,25.36
2023-06-30,94.33,$1.95,48.37
2023-03-31,82.73,$2.38,34.81
2022-12-31,74.61,$2.43,30.76
2024-03-31,95.56,$1.02,93.7
2022-09-30,82.63,$1.67,49.55
2022-06-30,95.09,$2.01,47.37
2022-03-31,117.72,$2.27,51.85
2021-12-31,129.55,$2.23,58.15
2021-09-30,113.21,$2.23,50.77
2021-06-30,103.57,$1.66,62.44
2021-03-31,83.64,$1.14,73.64
2020-12-31,91.23,$1.02,89.06
2020-09-30,79.82,$1.09,73.13
2020-06-30,69.11,$1.49,46.47
2020-03-31,62.87,$1.72,36.58
2019-12-31,77.76,$1.46,53.32
2019-09-30,73.3,$1.71,42.93
2019-06-30,61.58,$1.28,48.23
2019-03-31,63.78,$1.01,63.17
2018-12-31,51.06,$1.56,32.81
2018-06-30,48.52,$1.20,40.42
2018-03-31,46.51,$1.28,36.34
2017-12-31,37.57,$1.29,29.23
2017-09-30,36.44,$1.01,35.92
2017-06-30,39.41,$0.84,46.85
2017-03-31,31.36,$0.86,36.46
2016-12-31,31.23,$0.81,38.63
2016-09-30,40.19,$0.70,57.74
2016-06-30,33.24,$0.72,45.94
2016-03-31,29.4,$0.72,40.92
2015-12-31,26.33,$0.68,38.92
2015-09-30,23.7,$0.67,35.32
2015-06-30,23.74,$0.38,62.24
2015-03-31,23.74,$0.99,23.96
2014-12-31,21.23,$1.05,20.31
2014-09-30,17.03,$1.12,15.24
2014-06-30,14.31,$1.28,11.14
2013-12-31,10.96,$0.54,20.45
2013-09-30,11.61,$0.57,20.3
2013-06-30,11.2,$0.60,18.74
2013-03-31,13.69,$0.60,22.68
2012-12-31,15.03,$0.69,21.82
2014-03-31,12.36,$0.45,27.43
2012-09-30,17.9,$0.35,50.77
2012-06-30,17.22,$0.34,50.34
2012-03-31,12.12,$0.26,46.89
2011-12-31,11.78,$0.33,35.85
2011-09-30,11.88,$0.34,35.14
2011-06-30,14.53,$0.31,46.6
2011-03-31,14.5,$0.27,54.55
2010-12-31,13.47,$0.27,49.12
2010-09-30,11.18,$0.24,46.7
2010-06-30,9.34,$0.30,31.44
2010-03-31,8.24,$0.32,25.66
2009-12-31,7.24,$0.28,25.61
2009-09-30,5.83,$0.92,6.31
