Meta Platforms Price to Free Cash Flow Ratio Historical Data,Meta Platforms Price to Free Cash Flow Ratio Historical Data,Meta Platforms Price to Free Cash Flow Ratio Historical Data,Meta Platforms Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,521.31,,27.51
2024-06-30,504.22,$18.95,26.61
2024-03-31,485.1,$18.89,25.68
2023-12-31,353.23,$16.76,21.07
2023-09-30,299.59,$14.23,21.05
2023-06-30,286.39,$9.21,31.08
2023-03-31,211.5,$6.71,31.53
2022-12-31,120.09,$7.14,16.82
2022-09-30,135.4,$9.58,14.14
2022-06-30,160.92,$12.86,12.51
2022-03-31,221.9,$14.11,15.73
2021-12-31,335.66,$13.68,24.53
2021-09-30,338.69,$12.50,27.1
2021-06-30,346.99,$11.15,31.11
2021-03-31,293.92,$8.35,35.19
2020-12-31,272.6,$8.18,33.31
2020-09-30,261.36,$6.64,39.35
2020-06-30,226.6,$6.54,34.65
2020-03-31,166.46,$8.06,20.64
2019-12-31,204.83,$7.38,27.77
2019-09-30,177.71,$6.77,26.25
2019-06-30,192.6,$6.20,31.05
2019-03-31,166.35,$5.45,30.52
2018-12-31,130.82,$5.26,24.88
2018-09-30,164.12,$5.96,27.52
2018-06-30,193.92,$6.00,32.34
2018-03-31,159.46,$6.34,25.14
2017-12-31,176.1,$5.91,29.77
2017-09-30,170.52,$5.34,31.92
2017-06-30,150.67,$4.87,30.97
2017-03-31,141.76,$4.45,31.85
2016-12-31,114.81,$3.97,28.91
2016-09-30,128.01,$4.07,31.44
2016-06-30,114.04,$3.56,32.01
2016-03-31,113.87,$3.12,36.52
2015-12-31,104.44,$2.73,38.22
2015-09-30,89.55,$2.47,36.24
2015-06-30,85.59,$2.26,37.8
2015-03-31,82.05,$2.13,38.49
2014-12-31,77.86,$2.06,37.75
2014-09-30,78.88,$1.27,62.15
2014-06-30,67.15,$1.24,53.96
2014-03-31,60.12,$1.33,45.11
2013-12-31,54.54,$1.14,47.99
2013-09-30,50.13,$1.03,48.69
2013-06-30,24.83,$0.83,30.03
2013-03-31,25.53,$0.31,83.07
