Accenture Price to Free Cash Flow Ratio Historical Data,Accenture Price to Free Cash Flow Ratio Historical Data,Accenture Price to Free Cash Flow Ratio Historical Data,Accenture Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,341.95,,25.11
2024-05-31,281.07,$13.62,20.64
2024-02-29,371.69,$13.78,26.97
2023-11-30,329.19,$14.14,23.28
2023-08-31,318.62,$14.09,22.62
2023-05-31,299.98,$14.63,20.51
2023-02-28,259.37,$14.20,18.27
2022-11-30,292.76,$13.80,21.21
2022-08-31,279.38,$13.73,20.35
2022-05-31,288.04,$11.53,24.99
2022-02-28,304.08,$10.52,28.92
2021-11-30,343.01,$11.20,30.61
2021-08-31,322.06,$13.00,24.78
2021-05-31,269.25,$14.15,19.02
2021-02-28,238.68,$14.70,16.24
2020-11-30,236.15,$13.03,18.13
2020-08-31,226.6,$11.76,19.27
2020-05-31,189.73,$10.08,18.83
2020-02-29,169.14,$9.10,18.59
2019-11-30,187.68,$8.88,21.14
2019-08-31,184.1,$9.27,19.86
2019-05-31,165.43,$9.34,17.72
2019-02-28,148.7,$9.06,16.41
2018-11-30,151.59,$8.38,18.1
2018-08-31,154.36,$8.25,18.71
2018-05-31,142.19,$7.94,17.91
2018-02-28,145.7,$7.69,18.96
2017-11-30,133.93,$6.57,20.38
2017-08-31,117.19,$6.75,17.37
2017-05-31,111.55,$6.97,16.0
2017-02-28,108.66,$6.70,16.21
2016-11-30,105.93,$6.94,15.26
2016-08-31,100.96,$6.25,16.15
2016-05-31,104.44,$5.53,18.9
2016-02-29,87.18,$5.19,16.8
2015-11-30,93.24,$5.19,17.96
2015-08-31,81.1,$5.58,14.54
2015-05-31,82.63,$5.69,14.52
2015-02-28,76.63,$5.62,13.63
2014-11-30,73.48,$5.61,13.11
2014-08-31,68.08,$4.58,14.87
2014-05-31,68.41,$4.00,17.09
2014-02-28,69.19,$4.14,16.73
2013-11-30,64.31,$4.58,14.03
2013-08-31,59.19,$4.14,14.31
2013-05-31,67.27,$4.68,14.37
2013-02-28,60.28,$4.24,14.22
2012-11-30,55.06,$4.54,12.14
2012-08-31,49.36,$5.35,9.23
2012-05-31,45.76,$4.83,9.47
2012-02-29,47.21,$4.95,9.54
2011-11-30,45.94,$4.60,10.0
2011-08-31,42.0,$4.10,10.25
2011-05-31,44.98,$3.91,11.51
2011-02-28,40.03,$3.43,11.67
2010-11-30,33.68,$3.53,9.55
2010-08-31,28.18,$3.73,7.56
2010-05-31,28.89,$3.45,8.37
2010-02-28,30.51,$3.52,8.68
2009-11-30,31.32,$3.95,7.93
